vent,n,draft_rate,poolq_mean,poolq_median
0,381,0.013123359580052493,-0.8136519690584197,-0.7724453473711381
1,381,0.023622047244094488,-0.5067059203344771,-0.5068599041588404
2,381,0.02099737532808399,-0.344667050528406,-0.3443937510295605
3,381,0.026246719160104987,-0.2312456411969655,-0.22821633197455427
4,381,0.03412073490813648,-0.14708644638029017,-0.1453833672486686
5,381,0.04199475065616798,-0.08204245471514576,-0.08307138921094082
6,381,0.013123359580052493,-0.01964801853523598,-0.016926903514615937
7,381,0.04199475065616798,0.03701914487342882,0.036883423587910406
8,381,0.06036745406824147,0.0950745230888624,0.09360653024521241
9,381,0.06299212598425197,0.15830149818384393,0.16062831716362447
10,381,0.09973753280839895,0.22520406061590442,0.22521557066006875
11,381,0.07349081364829396,0.2935604136822773,0.2854741195312363
12,381,0.07349081364829396,0.38463458529380995,0.3858289146327407
13,381,0.11548556430446194,0.5015253330660543,0.5009872347661108
14,381,0.18635170603674542,0.6502241426921199,0.6462046291086313
15,380,0.22631578947368422,0.9705697696831144,0.9233561968589684
