vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,2730,6,0.002197802197802198,-0.48958841621314764,-0.48984722744022086,-0.566329839969683,-0.40412340356356213,1
1,2729,25,0.009160864785635764,-0.35362395621628995,-0.3496248914536913,-0.40412340356356213,-0.3147237710714511,2
2,2729,42,0.015390252839868083,-0.28720449773165013,-0.2870045133472828,-0.3147237710714511,-0.2589372325626219,3
3,2729,31,0.011359472334188348,-0.23251599493548025,-0.23323242007340192,-0.2589372325626219,-0.20872461877761417,4
4,2729,43,0.015756687431293513,-0.19002098727498176,-0.18980292639619564,-0.20872461877761417,-0.17230882753822394,5
5,2729,55,0.02015390252839868,-0.15219304084658355,-0.15080252782095108,-0.17230882753822394,-0.13442262669798202,6
6,2729,51,0.01868816416269696,-0.11826317717153441,-0.11873187454029284,-0.13442262669798202,-0.1017503630589563,7
7,2729,43,0.015756687431293513,-0.08746321703597658,-0.08779889532746113,-0.1017503630589563,-0.07300693083785673,8
8,2729,51,0.01868816416269696,-0.05638570899006289,-0.057745809547568784,-0.07300693083785673,-0.039108024158986635,9
9,2729,58,0.021253206302674972,-0.022873341149776173,-0.021547737191876772,-0.039108024158986635,-0.0059440445065905775,10
10,2730,63,0.023076923076923078,0.010318447049962667,0.01028935664304871,-0.0059440445065905775,0.025634694387390966,11
11,2729,58,0.021253206302674972,0.04060355288378568,0.04093202936610865,0.025634694387390966,0.05591977150955821,12
12,2729,79,0.028948332722609015,0.0720768445993416,0.07274155596332851,0.05591977150955821,0.08708959204543808,13
13,2729,64,0.023451813851227556,0.10442698308819759,0.10462817152048884,0.08708959204543808,0.1231074601070437,14
14,2729,86,0.031513374862587026,0.14413875694860076,0.14409096701210328,0.1231074601070437,0.16431742143525582,15
15,2729,111,0.04067423964822279,0.18449295297108387,0.18418575393598977,0.16431742143525582,0.2083741835824678,16
16,2729,104,0.03810919750824478,0.2355500868567995,0.23389746889342952,0.2083741835824678,0.2627751155657634,17
17,2729,121,0.0443385855624771,0.2960289661815073,0.2950276092722077,0.2627751155657634,0.3322693100455318,18
18,2729,153,0.056064492488090874,0.375735438996472,0.3731386064438476,0.3322693100455318,0.4319331007741674,19
19,2729,156,0.057163796262367166,0.5281406032124034,0.5248825281165632,0.4319331007741674,0.6203136016281822,20
