vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,449,4,0.008908685968819599,-0.4832490388289718,-0.436018968861402,-0.668906819963243,-0.32142620839115843,1
1,449,9,0.0200445434298441,-0.24359052324263963,-0.23937095552521157,-0.32142620839115843,-0.19345628380450988,2
2,449,8,0.017817371937639197,-0.15263520174959427,-0.15352881579002006,-0.19299070014743724,-0.10941573768720704,3
3,449,12,0.026726057906458798,-0.0799453130206003,-0.07883417627397064,-0.10941573768720704,-0.05336143309664493,4
4,449,8,0.017817371937639197,-0.02736966306681784,-0.026968639340377264,-0.05336143309664493,-0.003234158167868373,5
5,449,8,0.017817371937639197,0.01788008068656414,0.016046121334142703,-0.003234158167868373,0.037841035505090985,6
6,449,21,0.0467706013363029,0.053631378343472064,0.055690221231083595,0.037841035505090985,0.06807084804916277,7
7,449,11,0.024498886414253896,0.08301931101892696,0.08254308721612724,0.06807084804916277,0.10482161132155308,8
8,449,16,0.035634743875278395,0.11994595088377336,0.11839895226595525,0.10482161132155308,0.13704063927671178,9
9,449,19,0.042316258351893093,0.1520168557730793,0.15053689800874534,0.13712516406988054,0.16926274891005846,10
10,449,20,0.044543429844097995,0.1835529764090643,0.18124410373830033,0.16926274891005846,0.19913360025667776,11
11,449,29,0.0645879732739421,0.21594939725792162,0.21653089351326998,0.1991384791953532,0.234678133209562,12
12,449,41,0.09131403118040089,0.2505041905170567,0.24966987893135933,0.234678133209562,0.2697943135178513,13
13,449,36,0.0801781737193764,0.2833552541433874,0.28419088883955185,0.2697943135178513,0.2989907591931967,14
14,449,35,0.0779510022271715,0.3257436850182067,0.32590108255969974,0.2989907591931967,0.3522333891984198,15
15,449,33,0.07349665924276169,0.37469009803669595,0.37504738668964493,0.3522333891984198,0.39503090553523285,16
16,449,50,0.111358574610245,0.42591008464147734,0.4288154622806383,0.39560173854088154,0.4585351008582203,17
17,449,66,0.14699331848552338,0.4953950277821468,0.4923015319078495,0.4585351008582203,0.5391261690224192,18
18,449,77,0.1714922048997773,0.5944182674442653,0.5885728518558249,0.5391261690224192,0.6827700287512585,19
19,448,106,0.23660714285714285,0.8348398692946238,0.8234021361807496,0.6850231654221183,0.9903754533796874,20
