bin,x_mean,n,y_rate
1,-1.115534216485177,509,0.0
2,-0.9386993444935374,640,0.0
3,-0.7769740167935639,988,0.0
4,-0.6243017983247252,1507,0.0019907100199071004
5,-0.47302704970460924,1863,0.001610305958132045
6,-0.3181686245809688,2141,0.002335357309668379
7,-0.16338667123856998,2203,0.0031774852473899226
8,-0.010018719218817413,1928,0.007261410788381743
9,0.14632302101625688,1559,0.015394483643361129
10,0.30056277701363565,1373,0.024763292061179897
11,0.45601488493343495,1223,0.033524121013900246
12,0.6152578294958914,972,0.06172839506172839
13,0.7682895085278304,871,0.09988518943742825
14,0.9174896044210233,680,0.10882352941176471
15,1.076683949453409,406,0.13793103448275862
16,1.2678656283628043,431,0.23665893271461716
