bin,x_mean,n,y_rate
1,-1.4880591365377729,428,0.0
2,-1.2471570995004997,445,0.0
3,-1.041929597856337,868,0.0
4,-0.851553177080044,1290,0.0
5,-0.654729058035554,1699,0.0017657445556209534
6,-0.4597060638934178,2182,0.00229147571035747
7,-0.26241564714521753,2180,0.005963302752293578
8,-0.06513993478832103,1994,0.0050150451354062184
9,0.13059939020030042,1808,0.00995575221238938
10,0.3302295857211491,1388,0.016570605187319884
11,0.525383969285343,1348,0.034866468842729974
12,0.72353871719718,1088,0.06066176470588235
13,0.9205533015430948,966,0.07660455486542443
14,1.111525080570718,717,0.11157601115760112
15,1.3102284031023204,430,0.14418604651162792
16,1.5601637807054263,463,0.23542116630669546
