bin,x_mean,n,y_rate
1,-0.5445278131253315,514,0.0038910505836575876
2,-0.447649971017312,538,0.007434944237918215
3,-0.3744145890261901,1024,0.01171875
4,-0.29935492656220003,1385,0.008664259927797834
5,-0.22385842551196725,2096,0.01812977099236641
6,-0.14817774971142408,2545,0.018467583497053044
7,-0.07256929944983254,2762,0.026792179580014484
8,0.0024025929237557553,2852,0.03190743338008415
9,0.07888790392990865,2558,0.03049257232212666
10,0.15381066408168462,2102,0.03330161750713606
11,0.22796123853415723,1486,0.034993270524899055
12,0.30460048561207814,1060,0.04622641509433962
13,0.3800536876294332,715,0.043356643356643354
14,0.4562719907461171,483,0.031055900621118012
15,0.5323463163535584,288,0.06944444444444445
16,0.6327260099831341,387,0.05167958656330749
