bin,x_mean,n,y_rate
1,-0.9094744283202109,434,0.0
2,-0.7572053842322627,547,0.0018281535648994515
3,-0.637277882632026,865,0.0011560693641618498
4,-0.5158880344496075,1281,0.00234192037470726
5,-0.39421686120331373,1562,0.004481434058898848
6,-0.27264226202947456,1951,0.0020502306509482316
7,-0.15141381435985396,2148,0.00558659217877095
8,-0.03097344822791657,2159,0.012505789717461788
9,0.09155862378159091,1954,0.018935516888433982
10,0.21245591882593182,1755,0.02564102564102564
11,0.33495980551814425,1498,0.044058744993324434
12,0.4560681474642659,1080,0.05462962962962963
13,0.577146671462742,771,0.06355382619974059
14,0.6963036571748519,527,0.13282732447817835
15,0.8177321360452546,372,0.15591397849462366
16,0.9741444709101628,390,0.18205128205128204
