bin,x_mean,n,y_rate
1,-0.7489236941945664,432,0.004629629629629629
2,-0.6254279259890337,521,0.005758157389635317
3,-0.5304666783676406,808,0.007425742574257425
4,-0.4312845671974208,1106,0.011754068716094032
5,-0.3344925105116481,1560,0.01217948717948718
6,-0.23827936909433803,1879,0.014369345396487493
7,-0.14070907606179764,2182,0.022914757103574702
8,-0.0442512754895236,2382,0.020990764063811923
9,0.053573220025428456,2268,0.02513227513227513
10,0.15006539480771694,2015,0.027791563275434243
11,0.24690152488510114,1761,0.031232254400908575
12,0.34401826449079104,1394,0.04375896700143472
13,0.4402731553351661,935,0.05668449197860963
14,0.5374092102952418,649,0.07858243451463791
15,0.6354129070634967,403,0.06451612903225806
16,0.7600046670888884,410,0.07560975609756097
