bin,x_mean,n,y_rate
1,-0.6078979639165726,451,0.015521064301552107
2,-0.5063613918875015,439,0.018223234624145785
3,-0.429099587144108,759,0.026350461133069828
4,-0.3506365383898977,1289,0.026377036462373934
5,-0.2701096663538823,1655,0.021148036253776436
6,-0.19245244175039966,2230,0.025112107623318385
7,-0.11382973922421281,2517,0.023043305522447356
8,-0.0350675673256346,2737,0.025940811107051515
9,0.04453270242751208,2594,0.023515805705474173
10,0.12181511259549413,2269,0.031732040546496254
11,0.20146759383767976,1811,0.030922142462727776
12,0.2810390160882481,1431,0.03214535290006988
13,0.35855123784260656,1027,0.034079844206426485
14,0.4379867773230957,665,0.039097744360902256
15,0.5165616612285885,435,0.0367816091954023
16,0.6172863610507391,486,0.02880658436213992
