bin,x_mean,n,y_rate
1,-0.8325037594354501,474,0.0
2,-0.681234414416679,639,0.003129890453834116
3,-0.5593546443455877,1236,0.0
4,-0.44413513742941985,1776,0.0033783783783783786
5,-0.32850127911008525,2168,0.005996309963099631
6,-0.2097764197820698,2518,0.009134233518665607
7,-0.0924952698927354,2509,0.00996412913511359
8,0.026566224623638668,2363,0.018620397799407534
9,0.14515675122254673,2154,0.039925719591457756
10,0.2634482656463962,1885,0.046153846153846156
11,0.3831725885909648,1518,0.0533596837944664
12,0.5022198856335989,1046,0.06405353728489484
13,0.6191515942066679,685,0.06715328467153285
14,0.738934224788175,450,0.09555555555555556
15,0.8600497814656636,251,0.10358565737051793
16,1.0105736036855515,380,0.14210526315789473
