bin,x_mean,n,y_rate
1,-0.46961669586263016,1425,0.007017543859649123
2,-0.33652750149098754,1425,0.010526315789473684
3,-0.26052295231829997,1424,0.012640449438202247
4,-0.20664095698414214,1425,0.018245614035087718
5,-0.16033061753074687,1425,0.018245614035087718
6,-0.11874058088076339,1424,0.02457865168539326
7,-0.07845201439505742,1425,0.02736842105263158
8,-0.03986795290659927,1425,0.023157894736842106
9,-0.0028775805756000444,1424,0.03441011235955056
10,0.036356251698289536,1425,0.03368421052631579
11,0.07773853591347685,1425,0.030175438596491227
12,0.12127371450215384,1424,0.03441011235955056
13,0.17128490479965247,1425,0.031578947368421054
14,0.23376932527714256,1424,0.033707865168539325
15,0.32574279766402986,1425,0.041403508771929824
16,0.509775967786184,1425,0.05052631578947368
