bin,x_mean,n,y_rate
1,-0.7984119540101902,1206,0.001658374792703151
2,-0.5870906011486466,1207,0.0008285004142502071
3,-0.4681712499104601,1205,0.0016597510373443983
4,-0.36958932260645205,1206,0.006633499170812604
5,-0.2871809449490359,1206,0.001658374792703151
6,-0.21368941453552626,1205,0.004149377593360996
7,-0.1440312534457736,1209,0.0033085194375516956
8,-0.0768752799096397,1203,0.010806317539484621
9,-0.009619488231526604,1206,0.014925373134328358
10,0.06193993084218345,1206,0.017412935323383085
11,0.13833068062901255,1205,0.022406639004149378
12,0.21816328061343776,1206,0.01990049751243781
13,0.30814702246235404,1207,0.043910521955260975
14,0.41251877790133895,1205,0.04979253112033195
15,0.5588618387135408,1206,0.06716417910447761
16,0.8269150255635231,1206,0.15671641791044777
