bin,x_mean,n,y_rate
1,-0.7005680388852947,1387,0.010814708002883922
2,-0.4786362352699213,1386,0.012987012987012988
3,-0.3638031058351826,1386,0.018037518037518036
4,-0.2789184431504356,1387,0.017303532804614274
5,-0.20865538036871628,1386,0.01948051948051948
6,-0.1450474316095554,1386,0.023088023088023088
7,-0.08683053221396402,1387,0.012256669069935111
8,-0.03250994784383176,1386,0.023088023088023088
9,0.023370742367482076,1386,0.020923520923520924
10,0.07703837633021417,1387,0.028118240807498196
11,0.13287456592949243,1386,0.0367965367965368
12,0.19303454067757375,1386,0.03318903318903319
13,0.2639019080848425,1387,0.03893294881038212
14,0.3420024229866249,1386,0.04329004329004329
15,0.4530523614561902,1386,0.04040404040404041
16,0.6713062842514108,1387,0.05623648161499639
