bin,x_mean,n,y_rate
1,-0.7187392218617817,1384,0.001445086705202312
2,-0.5295588975272495,1373,0.0007283321194464676
3,-0.429703277276819,1378,0.00362844702467344
4,-0.34953306751093843,1379,0.00435097897026831
5,-0.27519848447441186,1378,0.009433962264150943
6,-0.2082163960997244,1378,0.008708272859216255
7,-0.14423229603233964,1378,0.007982583454281567
8,-0.07980813456009318,1378,0.009433962264150943
9,-0.012472824703469164,1378,0.013788098693759071
10,0.05599453473818621,1380,0.02681159420289855
11,0.12882523509607302,1377,0.03776325344952796
12,0.20785503490369517,1378,0.03555878084179971
13,0.2911238169995374,1379,0.05438723712835388
14,0.3930669400709635,1378,0.05370101596516691
15,0.5299549292838889,1377,0.06535947712418301
16,0.8173209782639063,1379,0.10442349528643945
