vent,bin_display,n,drafts,draft_rate,T_apgms_min,T_apgms_max,x_interval,x_median,x_mean
0,1,3412,89,0.0260844,12.9622,15.8882,"[12.96, 15.89]",15.3304,15.2072
1,2,3411,102,0.0299033,15.8975,16.5612,"[15.9, 16.56]",16.2795,16.2666
2,3,3412,90,0.0263775,16.5612,17.0893,"[16.56, 17.09]",16.8485,16.8389
3,4,3411,65,0.019056,17.0893,17.4741,"[17.09, 17.47]",17.2999,17.2957
4,5,3411,88,0.0257989,17.4741,17.8235,"[17.47, 17.82]",17.6536,17.6532
5,6,3412,70,0.0205158,17.8235,18.1168,"[17.82, 18.12]",17.9879,17.9802
6,7,3411,62,0.0181765,18.1168,18.4027,"[18.12, 18.4]",18.2689,18.2624
7,8,3411,74,0.0216945,18.404,18.7587,"[18.4, 18.76]",18.575,18.5798
8,9,3412,81,0.0237397,18.7587,19.0845,"[18.76, 19.08]",18.9217,18.9215
9,10,3411,91,0.0266784,19.085,19.3969,"[19.08, 19.4]",19.2282,19.2308
10,11,3412,104,0.0304807,19.3969,19.7123,"[19.4, 19.71]",19.5395,19.543
11,12,3411,91,0.0266784,19.7123,20.0856,"[19.71, 20.09]",19.8906,19.897
12,13,3411,72,0.0211082,20.0856,20.5221,"[20.09, 20.52]",20.2934,20.2961
13,14,3412,96,0.028136,20.5291,21.0465,"[20.53, 21.05]",20.7777,20.7777
14,15,3411,86,0.0252125,21.0472,21.8664,"[21.05, 21.87]",21.3683,21.4007
15,16,3411,139,0.0407505,21.8664,29.2186,"[21.87, 29.22]",22.6872,22.9771
