vent,bin_display,n,drafts,draft_rate,apgms_min,apgms_max,x_interval,x_median,x_mean
0,1,3412,3,0.00087925,1.17647,4.5,"[1.176, 4.5]",3.42857,3.33936
1,2,3411,7,0.00205218,4.5,6.46429,"[4.5, 6.464]",5.5,5.48594
2,3,3412,15,0.00439625,6.46429,8.28571,"[6.464, 8.286]",7.375,7.37631
3,4,3411,14,0.00410437,8.28571,10.2222,"[8.286, 10.22]",9.25,9.25644
4,5,3411,21,0.00615655,10.2222,12.2727,"[10.22, 12.27]",11.2222,11.23
5,6,3412,29,0.00849941,12.2759,14.4062,"[12.28, 14.41]",13.3103,13.32
6,7,3411,38,0.0111404,14.4074,16.6364,"[14.41, 16.64]",15.5,15.5151
7,8,3411,43,0.0126063,16.6364,18.8333,"[16.64, 18.83]",17.7647,17.7473
8,9,3412,52,0.0152403,18.8333,21.0645,"[18.83, 21.06]",19.971,19.9646
9,10,3411,62,0.0181765,21.0645,23.2308,"[21.06, 23.23]",22.1429,22.1505
10,11,3412,87,0.0254982,23.2333,25.25,"[23.23, 25.25]",24.2587,24.2511
11,12,3411,108,0.0316623,25.25,27.24,"[25.25, 27.24]",26.2258,26.2368
12,13,3411,141,0.0413369,27.2414,29.1613,"[27.24, 29.16]",28.1875,28.1969
13,14,3412,194,0.0568581,29.1613,31.04,"[29.16, 31.04]",30.0968,30.096
14,15,3411,259,0.0759308,31.04,33.1429,"[31.04, 33.14]",32.0625,32.0708
15,16,3411,327,0.0958663,33.1429,40.5,"[33.14, 40.5]",34.6129,34.8941
