vent,bin_display,n,drafts,draft_rate,T_argms_min,T_argms_max,x_interval,x_median,x_mean
0,1,3412,47,0.0137749,10.5439,13.6263,"[10.54, 13.63]",13.3494,13.0711
1,2,3411,60,0.0175901,13.6315,14.4009,"[13.63, 14.4]",14.3328,14.2925
2,3,3412,76,0.0222743,14.4009,15.3416,"[14.4, 15.34]",14.5188,14.6869
3,4,3411,102,0.0299033,15.3416,15.4491,"[15.34, 15.45]",15.414,15.4072
4,5,3411,75,0.0219877,15.4491,15.5564,"[15.45, 15.56]",15.4973,15.497
5,6,3412,53,0.0155334,15.5564,16.123,"[15.56, 16.12]",15.6357,15.6763
6,7,3411,80,0.0234535,16.123,16.6789,"[16.12, 16.68]",16.6406,16.6019
7,8,3411,92,0.0269716,16.6789,16.7431,"[16.68, 16.74]",16.7231,16.716
8,9,3412,77,0.0225674,16.7431,16.8226,"[16.74, 16.82]",16.7865,16.7836
9,10,3411,67,0.0196423,16.8226,16.9391,"[16.82, 16.94]",16.8668,16.8733
10,11,3412,73,0.0213951,16.9391,18.1478,"[16.94, 18.15]",17.0977,17.4073
11,12,3411,115,0.0337145,18.1485,18.2528,"[18.15, 18.25]",18.2042,18.2049
12,13,3411,98,0.0287306,18.2528,18.3466,"[18.25, 18.35]",18.3003,18.2985
13,14,3412,96,0.028136,18.3466,18.5482,"[18.35, 18.55]",18.4164,18.4261
14,15,3411,133,0.0389915,18.5482,20.1119,"[18.55, 20.11]",19.9548,19.5604
15,16,3411,156,0.0457344,20.1119,25.4167,"[20.11, 25.42]",20.3176,20.9669
