row_type,draft_mass_pct,z_cut,n_drafted_at_or_below,n_drafted_total,panel_top_pct,panel_pct_floor,draft_mass_below_pct,n_drafts_below,n_drafts_total,band,top_lo,top_hi,z_cut_outer,z_cut_inner,band_n,band_drafts,draft_share_of_total_pct,band_draft_rate
draft_mass,5,0.258828,31,615,,,,,,,,,,,,,,
draft_mass,10,0.528957,62,615,,,,,,,,,,,,,,
draft_mass,15,0.709883,93,615,,,,,,,,,,,,,,
draft_mass,20,0.816385,123,615,,,,,,,,,,,,,,
draft_mass,25,0.954079,154,615,,,,,,,,,,,,,,
draft_mass,30,1.08517,185,615,,,,,,,,,,,,,,
draft_mass,35,1.19061,215,615,,,,,,,,,,,,,,
draft_mass,40,1.26258,246,615,,,,,,,,,,,,,,
draft_mass,45,1.35983,277,615,,,,,,,,,,,,,,
draft_mass,50,1.44708,308,615,,,,,,,,,,,,,,
draft_mass,55,1.535,338,615,,,,,,,,,,,,,,
draft_mass,60,1.64635,369,615,,,,,,,,,,,,,,
draft_mass,65,1.78784,400,615,,,,,,,,,,,,,,
draft_mass,70,1.89302,430,615,,,,,,,,,,,,,,
draft_mass,75,2.04575,461,615,,,,,,,,,,,,,,
draft_mass,80,2.18386,492,615,,,,,,,,,,,,,,
draft_mass,85,2.36405,522,615,,,,,,,,,,,,,,
draft_mass,90,2.53126,553,615,,,,,,,,,,,,,,
draft_mass,95,2.87328,584,615,,,,,,,,,,,,,,
panel_top_cut,,1.64674,,,7,93,60,369,615,,,,,,,,,
panel_top_cut,,1.16138,,,15,85,33.6585,207,615,,,,,,,,,
panel_top_cut,,0.734043,,,25,75,15.935,98,615,,,,,,,,,
panel_top_cut,,0.253793,,,40,60,5.04065,31,615,,,,,,,,,
overlay_band,,,,,,,,,,top 7%,0,7,1.64674,,1596,246,40,0.154135
overlay_band,,,,,,,,,,top 7–15%,7,15,1.16138,1.64674,1824,162,26.3415,0.0888158
overlay_band,,,,,,,,,,top 15–25%,15,25,0.734043,1.16138,2279,109,17.7236,0.047828
overlay_band,,,,,,,,,,top 25–40%,25,40,0.253793,0.734043,3419,67,10.8943,0.0195964
