vent,n,draft_rate,perf_mean,perf_median
0,822,0.0,-2.060246660385694,-1.9763204755583874
1,821,0.0,-1.573932681665514,-1.5665441281853811
2,821,0.0,-1.3274443157735216,-1.3270764438175895
3,821,0.0,-1.1432293375549398,-1.1423118908727985
4,822,0.0024330900243309003,-0.978005886127818,-0.9762809175684167
5,821,0.00243605359317905,-0.838515868404269,-0.8374590023475336
6,821,0.0,-0.7014530793861516,-0.6986333319826665
7,821,0.0,-0.5688620781721886,-0.5681851542148314
8,822,0.0036496350364963502,-0.44735756528155834,-0.4495299824548562
9,821,0.0060901339829476245,-0.3266156823668856,-0.32776677449498354
10,821,0.0060901339829476245,-0.20998832658582628,-0.21030713392064174
11,821,0.0060901339829476245,-0.09301502108387433,-0.09290769661969986
12,822,0.006082725060827251,0.026806748346508414,0.02713469723739636
13,821,0.015834348355663823,0.14815231116375951,0.15063714454034396
14,821,0.0194884287454324,0.26598782964763285,0.26720432140145167
15,821,0.014616321559074299,0.3874182970874353,0.38710255551878975
16,822,0.019464720194647202,0.5196069216630653,0.5179226008937048
17,821,0.03532277710109622,0.6619530400344658,0.6618434067938813
18,821,0.04628501827040195,0.8131940547536058,0.8121998171583369
19,821,0.048721071863580996,0.9807931480733844,0.9810079010543614
20,822,0.07907542579075426,1.1781561561884728,1.178276055388282
21,821,0.08038976857490865,1.415785113153498,1.4154135312129092
22,821,0.10962241169305725,1.7263166690087495,1.717432639583159
23,821,0.1900121802679659,2.436905960368288,2.315541839886012
