vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,edge_interval
0,450,7,0.015555555555555555,-0.5992413840864529,-0.6140188028352481,-0.6140188028352481,-0.5512250721442702,1,-0.6140188028352481,-0.5510841121451506,-0.5825514574901993,"[-0.614, -0.5511)"
1,313,3,0.009584664536741214,-0.5170054577687535,-0.5170716045228816,-0.5510386766482277,-0.4883814170675232,2,-0.5510841121451506,-0.488149421455053,-0.5196167668001018,"[-0.5511, -0.4881)"
2,537,15,0.027932960893854747,-0.4552575667726553,-0.4550598265104446,-0.48776354687520407,-0.4254538643402403,3,-0.488149421455053,-0.42521473076495553,-0.4566820761100043,"[-0.4881, -0.4252)"
3,798,23,0.02882205513784461,-0.39038206247689944,-0.3887015564701971,-0.42513985524569337,-0.3622807822827551,4,-0.42521473076495553,-0.362280040074858,-0.3937473854199067,"[-0.4252, -0.3623)"
4,1067,25,0.023430178069353328,-0.32991703484454077,-0.32995448328461735,-0.36212053943713235,-0.29944741835163813,5,-0.362280040074858,-0.29934534938476043,-0.33081269472980923,"[-0.3623, -0.2993)"
5,1348,31,0.022997032640949554,-0.2662498910555839,-0.2651710597501546,-0.29925883058841685,-0.23641072542053487,6,-0.29934534938476043,-0.23641065869466293,-0.2678780040397117,"[-0.2993, -0.2364)"
6,1728,38,0.02199074074074074,-0.2041576303662635,-0.20420759079956738,-0.23634879652018181,-0.17349421962889333,7,-0.23641065869466293,-0.17347596800456538,-0.20494331334961416,"[-0.2364, -0.1735)"
7,1922,55,0.02861602497398543,-0.14192206732818552,-0.1416076929503075,-0.17344603297268432,-0.11056356000963681,8,-0.17347596800456538,-0.11054127731446783,-0.1420086226595166,"[-0.1735, -0.1105)"
8,2115,47,0.022222222222222223,-0.0787109404687665,-0.07842173239150844,-0.11052328086836709,-0.04766251633031124,9,-0.11054127731446783,-0.04760658662437034,-0.07907393196941909,"[-0.1105, -0.04761)"
9,2125,52,0.02447058823529412,-0.016495646753142027,-0.01672863162795515,-0.04759252583694563,0.01531985148041846,10,-0.04760658662437034,0.015328104065727266,-0.016139241279321537,"[-0.04761, 0.01533)"
10,2080,49,0.023557692307692307,0.04659845853695662,0.04650618423151774,0.015375473012158603,0.07824988957515407,11,0.015328104065727266,0.07826279475582476,0.04679544941077601,"[0.01533, 0.07826)"
11,1879,57,0.03033528472591804,0.10842887022977965,0.1077947503277998,0.07838210872651884,0.14116691934487557,12,0.07826279475582476,0.14119748544592226,0.10973014010087351,"[0.07826, 0.1412)"
12,1560,52,0.03333333333333333,0.17169693710564207,0.1709523864433071,0.14119902438375284,0.20409792446497202,13,0.14119748544592226,0.20413217613601986,0.17266483079097106,"[0.1412, 0.2041)"
13,1291,36,0.027885360185902403,0.2344753220516062,0.23406609769914655,0.2041322867143287,0.2670324857755332,14,0.20413217613601986,0.26706686682611736,0.2355995214810686,"[0.2041, 0.2671)"
14,1107,37,0.03342366757000903,0.29754902158874924,0.296497725619786,0.267076298036086,0.329949299134387,15,0.26706686682611736,0.33000155751621496,0.29853421217116616,"[0.2671, 0.33)"
15,805,28,0.034782608695652174,0.3600713713974355,0.35851494417687174,0.3301284551397614,0.392807250813491,16,0.33000155751621496,0.39293624820631246,0.3614689028612637,"[0.33, 0.3929)"
16,572,25,0.043706293706293704,0.42264875482550585,0.420919835743116,0.3929379674213363,0.4558388084431956,17,0.39293624820631246,0.45587093889641006,0.42440359355136126,"[0.3929, 0.4559)"
17,416,15,0.036057692307692304,0.4856808224032773,0.484791480602492,0.4561276245962624,0.5186003575460417,18,0.45587093889641006,0.5188056295865074,0.48733828424145875,"[0.4559, 0.5188)"
18,275,7,0.025454545454545455,0.5476912664583453,0.5477233474283157,0.5191362477403609,0.5816109761603638,19,0.5188056295865074,0.581740320276605,0.5502729749315562,"[0.5188, 0.5817)"
19,407,13,0.03194103194103194,0.6290181673072881,0.6446750109667025,0.5818607254657344,0.6446750109667025,20,0.581740320276605,0.6446750109667025,0.6132076656216539,"[0.5817, 0.6447)"
