bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,298,47,111,140,158,0.297468,0.231681,0.372871,0.702532,0.627129,0.768319,0.0,6.1,14.727273,,
2,290,40,67,183,107,0.373832,0.288027,0.468382,0.626168,0.531618,0.711973,14.818182,18.663636,29.5,,
3,71,23,5,43,28,0.821429,0.644082,0.921216,0.178571,0.078784,0.355918,29.733333,37.166667,44.0,,
4,47,9,2,36,11,0.818182,0.523014,0.948633,0.181818,0.051367,0.476986,44.5,50.2,59.0,,
5,10,4,1,5,5,0.8,0.375528,0.963777,0.2,0.036223,0.624472,61.6,65.75,73.0,,
6,5,2,2,1,4,0.5,0.150036,0.849964,0.5,0.150036,0.849964,76.0,82.0,88.0,,
7,2,2,0,0,2,1.0,0.342372,1.0,0.0,0.0,0.657628,94.5,96.25,98.0,,
8,2,2,0,0,2,1.0,0.342372,1.0,0.0,0.0,0.657628,116.0,116.5,117.0,,
9,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,125.5,125.5,125.5,,
10,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,140.0,140.0,140.0,,
11,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,158.0,158.0,158.0,,
15,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,221.0,221.0,221.0,,
16,3,3,0,0,3,1.0,0.438494,1.0,0.0,0.0,0.561506,222.5,228.0,237.0,,
