bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,52,5,10,37,15,0.333333,0.151761,0.582869,0.666667,0.417131,0.848239,0.0,0.666679,1.029063,,
2,136,23,42,71,65,0.353846,0.248753,0.475251,0.646154,0.524749,0.751247,1.127788,1.782591,2.085241,,
3,170,28,38,104,66,0.424242,0.312423,0.544396,0.575758,0.455604,0.687577,2.126103,2.713579,3.161448,,
4,132,27,33,72,60,0.45,0.330935,0.575083,0.55,0.424917,0.669065,3.199359,3.7692,4.240032,,
5,61,22,24,15,46,0.478261,0.341245,0.618628,0.521739,0.381372,0.658755,4.252353,4.749983,5.307191,,
6,87,20,40,27,60,0.333333,0.227291,0.459434,0.666667,0.540566,0.772709,5.349682,5.842137,6.356627,,
7,28,14,2,12,16,0.875,0.639767,0.965023,0.125,0.034977,0.360233,6.444444,6.944183,7.40077,,
8,52,8,5,39,13,0.615385,0.355225,0.822906,0.384615,0.177094,0.644775,7.45731,7.920136,8.471326,,
9,36,13,3,20,16,0.8125,0.569906,0.934085,0.1875,0.065915,0.430094,8.5,9.120053,9.529429,,
10,7,4,0,3,4,1.0,0.5101,1.0,0.0,0.0,0.4899,9.626498,10.118569,10.447907,,
11,3,2,1,0,3,0.666667,0.207655,0.93851,0.333333,0.06149,0.792345,11.334003,11.334007,11.599968,,
12,12,4,0,8,4,1.0,0.5101,1.0,0.0,0.0,0.4899,11.71476,12.254869,12.568613,,
13,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,13.15813,13.15813,13.15813,,
14,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,13.862195,13.862195,13.862195,,
15,16,0,4,12,4,0.0,0.0,0.4899,1.0,0.5101,1.0,15.099965,15.100017,15.75,,
16,2,2,0,0,2,1.0,0.342372,1.0,0.0,0.0,0.657628,17.0,17.0,17.0,,
