bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,80,11,15,54,26,0.423077,0.255442,0.610517,0.576923,0.389483,0.744558,0.0,0.67855,1.2651,,
2,80,15,26,39,41,0.365854,0.235896,0.518796,0.634146,0.481204,0.764104,1.2727,1.6667,1.8497,,
3,79,13,22,44,35,0.371429,0.231656,0.536634,0.628571,0.463366,0.768344,1.8633,2.0026,2.2889,,
4,80,18,19,43,37,0.486486,0.334462,0.641054,0.513514,0.358946,0.665538,2.3121,2.605554,2.875,,
5,79,14,16,49,30,0.466667,0.302321,0.63858,0.533333,0.36142,0.697679,2.89332,3.10985,3.35385,,
6,80,20,18,42,38,0.526316,0.372587,0.675212,0.473684,0.324788,0.627413,3.35385,3.649492,4.1111,,
7,80,14,36,30,50,0.28,0.17474,0.416654,0.72,0.583346,0.82526,4.125,4.533325,5.180086,,
8,79,23,27,29,50,0.46,0.329694,0.596014,0.54,0.403986,0.670306,5.199375,5.76045,6.45485,,
9,80,23,14,43,37,0.621622,0.461001,0.759362,0.378378,0.240638,0.538999,6.45485,7.260412,8.233333,,
10,79,23,9,47,32,0.71875,0.546252,0.844356,0.28125,0.155644,0.453748,8.23335,9.48632,27.0,,
