bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,18,9,9,0,18,0.5,0.290307,0.709693,0.5,0.290307,0.709693,0.053571,0.373188,0.615385,,
2,17,7,10,0,17,0.411765,0.216108,0.639949,0.588235,0.360051,0.783892,0.642857,0.782609,0.969697,,
3,18,9,9,0,18,0.5,0.290307,0.709693,0.5,0.290307,0.709693,0.979167,1.136646,1.333333,,
4,17,3,14,0,17,0.176471,0.06191,0.410299,0.823529,0.589701,0.93809,1.333333,1.5,1.782609,,
5,18,8,10,0,18,0.444444,0.245592,0.662839,0.555556,0.337161,0.754408,1.8,2.176692,2.321429,,
6,17,4,13,0,17,0.235294,0.095549,0.472622,0.764706,0.527378,0.904451,2.354839,2.507463,2.583333,,
7,18,9,9,0,18,0.5,0.290307,0.709693,0.5,0.290307,0.709693,2.697674,3.111111,3.314286,,
8,17,10,7,0,17,0.588235,0.360051,0.783892,0.411765,0.216108,0.639949,3.321429,3.461538,3.636364,,
9,18,10,8,0,18,0.555556,0.337161,0.754408,0.444444,0.245592,0.662839,3.666667,3.868116,4.1875,,
10,17,8,9,0,17,0.470588,0.261648,0.690371,0.529412,0.309629,0.738352,4.2,4.363636,4.555556,,
11,18,9,9,0,18,0.5,0.290307,0.709693,0.5,0.290307,0.709693,4.625,4.878571,5.37037,,
12,17,11,6,0,17,0.647059,0.413,0.826905,0.352941,0.173095,0.587,5.375,5.923077,6.333333,,
13,18,13,5,0,18,0.722222,0.491269,0.875004,0.277778,0.124996,0.508731,6.461538,6.666667,7.363636,,
14,17,12,5,0,17,0.705882,0.468665,0.867202,0.294118,0.132798,0.531335,7.466667,8.111111,8.846154,,
15,18,14,4,0,18,0.777778,0.54785,0.909992,0.222222,0.090008,0.45215,8.909091,10.067308,10.846154,,
16,17,10,7,0,17,0.588235,0.360051,0.783892,0.411765,0.216108,0.639949,10.928571,14.692308,67.090909,,
