bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,51,12,10,29,22,0.545455,0.346595,0.7308,0.454545,0.2692,0.653405,0.0,0.0,0.0,,
2,50,11,17,22,28,0.392857,0.235655,0.575913,0.607143,0.424087,0.764345,0.0,0.0,0.0,,
3,50,6,10,34,16,0.375,0.18481,0.613594,0.625,0.386406,0.81519,0.0,0.0,0.0,,
4,51,3,22,26,25,0.12,0.041667,0.299562,0.88,0.700438,0.958333,0.0,0.0,0.0,,
5,50,8,5,37,13,0.615385,0.355225,0.822906,0.384615,0.177094,0.644775,0.0,0.0,0.0,,
6,50,6,16,28,22,0.272727,0.131506,0.481521,0.727273,0.518479,0.868494,0.0,1.0,2.0,,
7,51,9,15,27,24,0.375,0.211591,0.572904,0.625,0.427096,0.788409,2.0,3.0,4.0,,
8,50,5,19,26,24,0.208333,0.092447,0.404708,0.791667,0.595292,0.907553,4.0,5.0,7.0,,
9,50,7,19,24,26,0.269231,0.137043,0.460834,0.730769,0.539166,0.862957,7.0,9.0,11.0,,
10,51,7,20,24,27,0.259259,0.131702,0.446789,0.740741,0.553211,0.868298,11.0,14.0,17.0,,
11,50,10,14,26,24,0.416667,0.244673,0.611657,0.583333,0.388343,0.755327,17.0,19.0,23.0,,
12,50,17,15,18,32,0.53125,0.364492,0.691309,0.46875,0.308691,0.635508,23.0,27.0,30.0,,
13,51,20,9,22,29,0.689655,0.507695,0.827246,0.310345,0.172754,0.492305,30.0,34.0,41.0,,
14,50,19,7,24,26,0.730769,0.539166,0.862957,0.269231,0.137043,0.460834,41.0,46.0,53.0,,
15,50,19,8,23,27,0.703704,0.51519,0.841471,0.296296,0.158529,0.48481,53.0,64.0,79.0,,
16,50,15,3,32,18,0.833333,0.607775,0.941635,0.166667,0.058365,0.392225,80.0,100.5,712.0,,
