bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,37,15,11,11,26,0.576923,0.389483,0.744558,0.423077,0.255442,0.610517,0.0,0.0,1.5,,
2,37,7,11,19,18,0.388889,0.20305,0.613813,0.611111,0.386187,0.79695,1.5,2.333333,3.25,,
3,36,3,9,24,12,0.25,0.08894,0.53231,0.75,0.46769,0.91106,3.285714,4.0,4.5,,
4,37,4,24,9,28,0.142857,0.056989,0.314902,0.857143,0.685098,0.943011,4.583333,5.666667,6.1,,
5,36,4,18,14,22,0.181818,0.073068,0.38517,0.818182,0.61483,0.926932,6.1,7.083333,7.8,,
6,37,3,11,23,14,0.214286,0.075712,0.475897,0.785714,0.524103,0.924288,8.0,9.428571,11.5,,
7,37,2,11,24,13,0.153846,0.043257,0.422352,0.846154,0.577648,0.956743,11.5,12.5,13.294118,,
8,36,8,16,12,24,0.333333,0.17972,0.53294,0.666667,0.46706,0.82028,13.294118,14.0,14.55,,
9,37,2,8,27,10,0.2,0.056681,0.509843,0.8,0.490157,0.943319,14.636364,15.25,15.666667,,
10,36,4,3,29,7,0.571429,0.250454,0.841783,0.428571,0.158217,0.749546,15.666667,16.277778,16.5,,
11,37,1,3,33,4,0.25,0.045586,0.699364,0.75,0.300636,0.954414,16.5,16.939394,17.0,,
12,37,3,6,28,9,0.333333,0.120582,0.645803,0.666667,0.354197,0.879418,17.043478,17.3,18.5,,
13,36,10,19,7,29,0.344828,0.199405,0.526552,0.655172,0.473448,0.800595,18.533333,19.447619,20.0,,
14,37,10,16,11,26,0.384615,0.224284,0.574655,0.615385,0.425345,0.775716,20.0,20.909091,22.0,,
15,36,7,8,21,15,0.466667,0.248092,0.698834,0.533333,0.301166,0.751908,22.0,23.875,25.166667,,
16,37,4,4,29,8,0.5,0.215213,0.784787,0.5,0.215213,0.784787,25.25,26.0,29.466667,,
17,37,15,4,18,19,0.789474,0.566653,0.914925,0.210526,0.085075,0.433347,29.5,31.333333,37.0,,
18,36,8,1,27,9,0.888889,0.564994,0.98011,0.111111,0.01989,0.435006,37.166667,40.431818,44.0,,
19,37,5,2,30,7,0.714286,0.358929,0.917783,0.285714,0.082217,0.641071,44.5,50.1,52.470588,,
20,36,21,3,12,24,0.875,0.689957,0.956557,0.125,0.043443,0.310043,52.857143,70.7,237.0,,
