bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,28,13,15,0,28,0.464286,0.295313,0.641876,0.535714,0.358124,0.704687,0.053571,0.52551,0.8,,
2,28,12,16,0,28,0.428571,0.265083,0.609295,0.571429,0.390705,0.734917,0.8,1.093478,1.384615,,
3,28,10,18,0,28,0.357143,0.207056,0.5417,0.642857,0.4583,0.792944,1.392857,1.791304,2.266667,,
4,28,9,19,0,28,0.321429,0.17933,0.506615,0.678571,0.493385,0.82067,2.266667,2.526316,3.076923,,
5,28,15,13,0,28,0.535714,0.358124,0.704687,0.464286,0.295313,0.641876,3.111111,3.333333,3.636364,,
6,28,15,13,0,28,0.535714,0.358124,0.704687,0.464286,0.295313,0.641876,3.666667,4.05125,4.375,,
7,28,14,14,0,28,0.5,0.326328,0.673672,0.5,0.326328,0.673672,4.4,4.819805,5.4,,
8,28,20,8,0,28,0.714286,0.529404,0.847462,0.285714,0.152538,0.470596,5.714286,6.397436,6.875,,
9,28,19,9,0,28,0.678571,0.493385,0.82067,0.321429,0.17933,0.506615,7.037736,8.348739,9.444444,,
10,28,19,9,0,28,0.678571,0.493385,0.82067,0.321429,0.17933,0.506615,9.555556,11.620536,67.090909,,
