bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,2,1,1,0,2,0.5,0.094529,0.905471,0.5,0.094529,0.905471,0.850334,0.941744,1.033153,,
2,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,1.782225,1.782225,1.782225,,
3,9,4,5,0,9,0.444444,0.188775,0.733353,0.555556,0.266647,0.811225,1.932185,2.054595,2.261921,,
4,28,11,17,0,28,0.392857,0.235655,0.575913,0.607143,0.424087,0.764345,2.343791,2.667202,2.820912,,
5,35,19,16,0,35,0.542857,0.381895,0.695342,0.457143,0.304658,0.618105,2.838923,3.021455,3.328103,,
6,32,12,20,0,32,0.375,0.229337,0.547459,0.625,0.452541,0.770663,3.336271,3.582546,3.818512,,
7,46,30,16,0,46,0.652174,0.507698,0.773192,0.347826,0.226808,0.492302,3.835524,4.12523,4.320895,,
8,63,27,36,0,63,0.428571,0.313967,0.551386,0.571429,0.448614,0.686033,4.332451,4.629379,4.818514,,
9,48,33,15,0,48,0.6875,0.546667,0.800545,0.3125,0.199455,0.453333,4.826101,4.999365,5.305511,,
10,23,16,7,0,23,0.695652,0.491339,0.843962,0.304348,0.156038,0.508661,5.375,5.556516,5.789682,,
11,52,16,36,0,52,0.307692,0.199146,0.442698,0.692308,0.557302,0.800854,5.820774,6.097382,6.291669,,
12,14,7,7,0,14,0.5,0.267989,0.732011,0.5,0.267989,0.732011,6.32367,6.548891,6.804425,,
13,11,5,6,0,11,0.454545,0.21271,0.719912,0.545455,0.280088,0.78729,6.825418,6.975152,7.193241,,
14,6,3,3,0,6,0.5,0.187613,0.812387,0.5,0.187613,0.812387,7.437803,7.56013,7.793632,,
15,16,5,11,0,16,0.3125,0.141644,0.555961,0.6875,0.444039,0.858356,7.808064,8.071658,8.290279,,
16,3,1,2,0,3,0.333333,0.06149,0.792345,0.666667,0.207655,0.93851,8.413298,8.611169,8.791544,,
