bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,40,14,26,0,40,0.35,0.221343,0.504944,0.65,0.495056,0.778657,0.0,0.604798,0.764706,,
2,39,11,28,0,39,0.282051,0.165433,0.437756,0.717949,0.562244,0.834567,0.776316,0.990741,1.156863,,
3,39,24,15,0,39,0.615385,0.458988,0.751088,0.384615,0.248912,0.541012,1.168317,1.336842,1.427481,,
4,39,25,14,0,39,0.641026,0.484179,0.772581,0.358974,0.227419,0.515821,1.444444,1.620253,1.85,,
5,39,17,22,0,39,0.435897,0.293045,0.590246,0.564103,0.409754,0.706955,1.853503,2.0,2.212389,,
6,39,20,19,0,39,0.512821,0.361991,0.661351,0.487179,0.338649,0.638009,2.230769,2.504425,2.649123,,
7,39,19,20,0,39,0.487179,0.338649,0.638009,0.512821,0.361991,0.661351,2.677596,2.810811,2.952381,,
8,39,19,20,0,39,0.487179,0.338649,0.638009,0.512821,0.361991,0.661351,2.95935,3.110465,3.262295,,
9,39,30,9,0,39,0.769231,0.616634,0.873543,0.230769,0.126457,0.383366,3.269504,3.747826,4.26,,
10,39,12,27,0,39,0.307692,0.185658,0.464215,0.692308,0.535785,0.814342,4.4,5.833333,10.288136,,
