bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,25,5,20,0,25,0.2,0.088605,0.391313,0.8,0.608687,0.911395,0.0,0.891304,1.484848,,
2,24,3,21,0,24,0.125,0.043443,0.310043,0.875,0.689957,0.956557,1.484848,1.91629,2.347826,,
3,25,12,13,0,25,0.48,0.30031,0.665018,0.52,0.334982,0.69969,2.37037,2.891156,3.598039,,
4,24,14,10,0,24,0.583333,0.388343,0.755327,0.416667,0.244673,0.611657,3.607843,4.443976,4.765432,,
5,25,10,15,0,25,0.4,0.234031,0.592609,0.6,0.407391,0.765969,4.847134,5.310345,5.672727,,
6,24,15,9,0,24,0.625,0.427096,0.788409,0.375,0.211591,0.572904,5.672727,6.164557,6.633333,,
7,25,17,8,0,25,0.68,0.484099,0.82795,0.32,0.17205,0.515901,6.648649,6.971429,7.848485,,
8,24,15,9,0,24,0.625,0.427096,0.788409,0.375,0.211591,0.572904,7.887097,8.782437,9.869919,,
9,24,9,15,0,24,0.375,0.211591,0.572904,0.625,0.427096,0.788409,9.878049,10.266194,11.873684,,
10,25,20,5,0,25,0.8,0.608687,0.911395,0.2,0.088605,0.391313,11.93956,12.811224,13.734848,,
11,24,16,8,0,24,0.666667,0.46706,0.82028,0.333333,0.17972,0.53294,13.734848,14.683784,15.099099,,
12,25,11,14,0,25,0.44,0.266654,0.62933,0.56,0.37067,0.733346,15.108108,16.219512,18.160584,,
13,24,17,7,0,24,0.708333,0.508319,0.850855,0.291667,0.149145,0.491681,18.167883,20.03344,20.298701,,
14,25,11,14,0,25,0.44,0.266654,0.62933,0.56,0.37067,0.733346,20.300885,21.227642,23.293532,,
15,24,9,15,0,24,0.375,0.211591,0.572904,0.625,0.427096,0.788409,23.293532,25.597382,30.9375,,
16,24,7,17,0,24,0.291667,0.149145,0.491681,0.708333,0.508319,0.850855,30.9375,41.808333,62.846154,,
