snpsht_dt,pid_pde,rank_pde,sex,age,job_code,married,,,,,,,,,,,,,,,,
3/31/2001,PDE01,CPT,1,27,11A,0,,,,,,,,,,,,,,,,
6/30/2001,PDE01,CPT,1,28,11A,0,,,,,,,,,,,,,,,,
9/30/2001,PDE01,CPT,1,28,11A,0,,,,,,,,,,,,,,,,
12/31/2001,PDE01,CPT,1,28,11A,0,,,,,,,,,,,,,,,,
3/31/2002,PDE01,CPT,1,28,11A,0,,,,,,,,,,,,,,,,
6/30/2002,PDE01,CPT,1,29,11A,0,,,,,,,,,,,,,,,,
9/30/2002,PDE01,CPT,1,29,11A,0,,,,,,,,,,,,,,,,
12/31/2002,PDE01,CPT,1,29,11A,0,,,,,,,,,,,,,,,,
3/31/2003,PDE01,CPT,1,29,11A,0,,,,,,,,,,,,,,,,
6/30/2003,PDE01,CPT,1,30,11A,0,,,,,,,,,,,,,,,,
9/30/2003,PDE01,CPT,1,30,11A,0,,,,,,,,,,,,,,,,
12/31/2003,PDE01,CPT,1,30,11A,0,,,,,,,,,,,,,,,,
3/31/2004,PDE01,CPT,1,30,11A,0,,,,,,,,,,,,,,,,
6/30/2004,PDE01,CPT,1,31,11A,0,,,,,,,,,,,,,,,,
9/30/2004,PDE01,CPT,1,31,11A,0,,,,,,,,,,,,,,,,
12/31/2004,PDE01,CPT,1,31,11A,1,,,,,,,,,,,,,,,,
3/31/2005,PDE01,CPT,1,31,11A,1,,,,,,,,,,,,,,,,
6/30/2005,PDE01,CPT,1,32,11A,1,,,,,,,,,,,,,,,,
9/30/2005,PDE01,MAJ,1,32,11A,1,,,,,,,,,,,,,,,,
12/31/2005,PDE01,MAJ,1,32,11A,1,,,,,,,,,,,,,,,,
3/31/2006,PDE01,MAJ,1,32,11A,1,,,,,,,,,,,,,,,,
6/30/2006,PDE01,MAJ,1,33,11A,1,,,,,,,,,,,,,,,,
9/30/2006,PDE01,MAJ,1,33,11A,1,,,,,,,,,,,,,,,,
12/31/2006,PDE01,MAJ,1,33,11A,1,,,,,,,,,,,,,,,,
3/31/2007,PDE01,MAJ,1,33,11A,1,,,,,,,,,,,,,,,,
6/30/2007,PDE01,MAJ,1,34,11A,1,,,,,,,,,,,,,,,,
9/30/2007,PDE01,MAJ,1,34,11A,1,,,,,,,,,,,,,,,,
3/31/2001,PDE02,CPT,1,27,11A,0,,,,,,,,,,,,,,,,
