dataset,student_id,unit_id,school_id,unit_definition,cohort,own_performance_raw,own_performance_z,peer_mean_loo,peer_sd_loo,relative_performance_raw,relative_performance_z,within_unit_percentile_loo,n_peers_above,share_peers_above,n_top_decile_peers_loo,share_top_decile_peers_loo,unit_n,peer_n,cell_at_least_5,cell_at_least_10,cell_at_least_15,bachelors_or_higher_by_1986,two_year_or_higher_by_1986,any_postsecondary_by_1986,high_school_or_higher_by_1986,outcome_observed,analytic_sample_min5,analytic_sample_min5_weighted,analytic_sample_min10,base_year_weight,followup_weight_1986,attainment_code_1986,SOQFLAG,SRQFLAG,base_year_ses,sex_code,race_code,high_school_grades_code,school_type_code,school_sample_type_code,sex,race,school_region,school_urbanicity,school_type_label,high_school_program,gpa12,gpa10,questionnaire_respondent,followup_weight_positive,global_top_decile_cutoff,own_global_top_decile,unit_mean_including_self,unit_sd_including_self,n_peers_equal,unit_top_score_including_self,gap_to_unit_top,peer_mean_z_loo
HS&B:80,103204,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,40.83,-1.036742,40.77142987932478,7.040148404149742,0.0585719517299097,0.006533043725150067,0.5714285714285714,3,0.42857142857142855,0,0.0,8,7,1,0,0,0,0,0,1,1,1,1,0,85.889,82.58,2.0,1.0,,0.542,2,4,3.0,1,0,Female,Black,South,Urban,Public,Academic,3.5,3.5,1,1,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,10.949996948242188,-1.0432750156947546
HS&B:80,103209,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,44.13,-0.6686693,40.300001416887554,6.886579387858906,3.8299996512276806,0.42718758753367836,0.7142857142857143,2,0.2857142857142857,0,0.0,8,7,1,0,0,0,0,0,1,1,1,0,0,85.889,0.0,2.0,1.0,,-0.763,2,4,3.0,1,0,Female,Black,South,Urban,Public,Academic,3.0,3.0,1,0,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,7.649997711181641,-1.0958568709237235
HS&B:80,103210,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,51.78,0.18459012,39.207144601004465,5.148916710322375,12.57285417829241,1.402341210416385,1.0,0,0.0,0,0.0,8,7,1,0,0,0,0,0,1,1,1,0,0,86.937,0.0,2.0,0.0,,-0.692,1,4,4.0,1,0,Male,Black,South,Urban,Public,Academic,2.5,2.5,0,0,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,0.0,-1.2177510942731584
HS&B:80,103217,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,37.59,-1.3981227,41.23428726196289,6.901260925674378,-3.644287109375,-0.40647344929831364,0.42857142857142855,4,0.5714285714285714,0,0.0,8,7,1,0,0,0,0,0,0,1,1,1,0,120.61,92.54,1.0,0.0,,0.09,2,4,4.0,1,0,Female,Black,South,Urban,Public,,2.5,2.5,0,1,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,14.189998626708984,-0.9916492189679827
HS&B:80,103219,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,32.71,-1.9424244,41.931430271693635,6.096169496166999,-9.221431187220979,-1.028532556125096,0.0,7,1.0,0,0.0,8,7,1,0,0,0,0,0,1,1,1,1,0,85.889,80.78,2.0,1.0,,,2,2,2.0,1,0,Female,Other,South,Urban,Public,General,3.5,3.5,1,1,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,19.06999969482422,-0.9138918604169574
HS&B:80,103225,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,37.24,-1.4371605,41.28428704398019,6.868690141395953,-4.044285365513396,-0.4510880878993443,0.2857142857142857,5,0.7142857142857143,0,0.0,8,7,1,0,0,0,0,0,1,1,1,1,0,492.741,473.77,2.0,1.0,,-0.418,2,4,4.0,1,0,Female,Black,South,Urban,Public,Vocational,2.5,2.5,1,1,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,14.539997100830078,-0.9860724040440151
HS&B:80,103226,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,47.19,-0.3273657,39.86285890851702,6.460250701538644,7.327139718191965,0.8172487957136971,0.8571428571428571,1,0.14285714285714285,0,0.0,8,7,1,0,0,0,0,0,1,1,1,1,0,86.937,93.89,2.0,1.0,,-0.791,1,4,2.0,1,0,Male,Black,South,Urban,Public,Academic,2.5,2.5,1,1,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,4.590000152587891,-1.1446144921439034
HS&B:80,103235,HSB_1032_sophomore,1032,base-year school by sampled cohort,Sophomore,34.76,-1.7137733,41.63857323782785,6.53177739191076,-6.878574916294646,-0.7672169549124581,0.14285714285714285,6,0.8571428571428571,0,0.0,8,7,1,0,0,0,0,0,1,1,1,1,0,492.741,473.77,2.0,1.0,,,2,4,5.0,1,0,Female,Black,South,Urban,Public,General,1.5,1.5,1,1,62.5099983215332,0,40.778751373291016,6.517954,0,51.78,17.020000457763672,-0.9465562956673759
HS&B:80,103252,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,32.68,-1.7770939,41.79583168029785,5.8349386666715795,-9.11583137512207,-1.017231305440267,0.0,12,1.0,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,140.812,2.0,,1.0,,1,4,6.0,1,0,Male,Black,South,Urban,Public,Vocational,1.5,1.5,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,20.139999389648438,-0.7598625818888346
HS&B:80,103257,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,42.28,-0.7058348,40.99583180745443,6.393857620641039,1.2841669718424455,0.143299400806427,0.75,3,0.25,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,131.851,2.0,,1.0,-0.814,2,4,5.0,1,0,Female,Black,South,Urban,Public,General,2.0,2.0,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,10.540000915527344,-0.8491342067718506
HS&B:80,103261,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,48.65,0.0049906746,40.46499824523926,5.949613642820234,8.185003280639648,0.9133602951963743,0.8333333333333334,2,0.16666666666666666,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,128.057,2.0,,1.0,-1.187,2,4,2.0,1,0,Female,Black,South,Urban,Public,Academic,3.5,3.5,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,4.1699981689453125,-0.9083696206410726
HS&B:80,103264,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,38.62,-1.1142523,41.30083179473877,6.357413503900459,-2.680832862854004,-0.29915293057759607,0.4166666666666667,7,0.5833333333333334,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,140.812,2.0,,1.0,-0.278,1,4,5.0,1,0,Male,Black,South,Urban,Public,General,2.0,2.0,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,14.200000762939453,-0.8150993982950846
HS&B:80,103265,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,36.47,-1.3541695,41.47999827067057,6.238068643022621,-5.0099970499674455,-0.5590632359186808,0.16666666666666666,10,0.8333333333333334,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,131.851,2.0,,1.0,-1.023,2,4,6.0,1,0,Female,Black,South,Urban,Public,General,1.5,1.5,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,16.349998474121094,-0.7951062520345052
HS&B:80,103266,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,38.67,-1.108673,41.29666519165039,6.359310582990695,-2.626667022705078,-0.2931086619695028,0.5,6,0.5,0,0.0,13,12,1,1,0,0,0,1,1,1,1,1,1,137.685,131.851,3.0,,1.0,-0.454,2,4,4.0,1,0,Female,Black,South,Urban,Public,General,2.5,2.5,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,14.150001525878906,-0.8155643145243326
HS&B:80,103267,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,40.62,-0.89107335,41.134165128072105,6.402938027140489,-0.5141661961873396,-0.05737570921579993,0.5833333333333334,5,0.4166666666666667,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,140.812,2.0,,1.0,-0.535,1,4,5.0,1,0,Male,Black,South,Urban,Public,General,2.0,2.0,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,12.200000762939453,-0.8336976369222006
HS&B:80,103271,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,40.8,-0.8709872,41.119165102640785,6.404002790860572,-0.3191658655802385,-0.03561568260192871,0.6666666666666666,4,0.3333333333333333,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,140.812,2.0,,1.0,-0.298,1,4,3.0,1,0,Male,Black,South,Urban,Public,Academic,3.0,3.0,1,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,12.020000457763672,-0.8353714942932129
HS&B:80,103272,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,52.82,0.4703187,40.11749839782715,5.242102905970061,12.70250129699707,1.4174656768639884,1.0,0,0.0,0,0.0,13,12,1,1,0,0,0,0,1,1,1,1,1,137.685,149.747,2.0,,0.0,-0.651,1,4,3.0,1,0,Male,Black,South,Urban,Public,Academic,3.0,3.0,0,1,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,0.0,-0.9471469720204672
HS&B:80,103277,HSB_1032_senior,1032,base-year school by sampled cohort,Senior,37.25,-1.2671299,41.414998372395836,6.289999202017443,-4.164998372395836,-0.4647703170776367,0.25,9,0.75,0,0.0,13,12,1,1,0,,,,,0,0,0,0,137.685,0.0,,,0.0,-1.356,2,4,4.0,1,0,Female,Black,South,Urban,Public,General,2.5,2.5,0,0,61.15999984741211,0,41.09461388221154,6.131996,0,52.82,15.569999694824219,-0.8023595809936523
