top_uic,top_unit_name,subordinate_uic,subordinate_name,unit_type,location,branch,is_top_unit
WDDDFF,(SOF) 75 RR,WJP8A0,Recon Co,STRUCTURE,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WJP8AA,STB-75 RR,PARENT,"FORT BENNING, GA",IN,False
WDDDFF,(SOF) 75 RR,WH3LA0,RflCoRngBn,STRUCTURE,"SAVANNAH, GA",,False
WDDDFF,(SOF) 75 RR,WH3M99,Aug 2-75RR,PARENT,"TACOMA, WA",,False
WDDDFF,(SOF) 75 RR,WH3MT0,HHC RngrBn,STRUCTURE,"TACOMA, WA",,False
WDDDFF,(SOF) 75 RR,WJP8C0,RMIC,STRUCTURE,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WH3MAA,2-75 RR,PARENT,"TACOMA, WA",IN,False
WDDDFF,(SOF) 75 RR,WH3LB0,RflCoRngBn,STRUCTURE,"SAVANNAH, GA",,False
WDDDFF,(SOF) 75 RR,WDDDAA,HHC 75 RR,PARENT,"FORT BENNING, GA",IN,False
WDDDFF,(SOF) 75 RR,WH3LE0,Rgr Spt Tm,STRUCTURE,"SAVANNAH, GA",,False
WDDDFF,(SOF) 75 RR,WJBLT0,HHC RngrBn,STRUCTURE,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WH3MD0,RflCoRngBn,STRUCTURE,"TACOMA, WA",,False
WDDDFF,(SOF) 75 RR,WJBLB0,RflCoRngBn,STRUCTURE,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WJBL99,Aug 3-75RR,PARENT,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WH3LD0,RflCoRngBn,STRUCTURE,"SAVANNAH, GA",,False
WDDDFF,(SOF) 75 RR,WJBLE0,Rgr Spt Tm,STRUCTURE,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WH3MC0,RflCoRngBn,STRUCTURE,"TACOMA, WA",,False
WDDDFF,(SOF) 75 RR,WH3L99,Aug 1-75RR,PARENT,"SAVANNAH, GA",,False
WDDDFF,(SOF) 75 RR,WJP8B0,SC Co RSTB,STRUCTURE,"FORT BENNING, GA",,False
WDDDFF,(SOF) 75 RR,WJBLAA,3-75 RR,PARENT,"FORT BENNING, GA",IN,False
WDDDFF,(SOF) 75 RR,WJP8D0,RSTC,STRUCTURE,"FORT BENNING, GA",,False
