parent_uic,parent_name,child_uic,child_name
WDSTFF,(SOF) 160 AV,W028AA,Eqp Set
WDSTFF,(SOF) 160 AV,WC3JAA,3-160 SOAR
WDSTFF,(SOF) 160 AV,WDSRAA,1-160 SOAR
WDSTFF,(SOF) 160 AV,WDSSAA,2-160 SOAR
WDSTFF,(SOF) 160 AV,WDSTAA,HHC160AV
WDSTFF,(SOF) 160 AV,WDSVAA,E-160 AV
WDSTFF,(SOF) 160 AV,WJH1AA,F Co
WDSTFF,(SOF) 160 AV,WJMFAA,4-160 SOAR
W028AA,Eqp Set,W02AAA,Eqp Set
W028AA,Eqp Set,W02BAA,Eqp Set
W028AA,Eqp Set,W02CAA,Eqp Set
W028AA,Eqp Set,W02DAA,Eqp Set
WC3JAA,3-160 SOAR,WC3JA0,Hvy AH Co
WC3JAA,3-160 SOAR,WC3JB0,Hvy AH Co
WC3JAA,3-160 SOAR,WC3JC0,MedAsltHel
WC3JAA,3-160 SOAR,WC3JD0,AVUM Co
WC3JAA,3-160 SOAR,WC3JT0,HHCSO AVBn
WDSRAA,1-160 SOAR,WDSRA0,LtAslHelCo
WDSRAA,1-160 SOAR,WDSRB0,LtAtkHelCo
WDSRAA,1-160 SOAR,WDSRC0,AttkHeliCo
WDSRAA,1-160 SOAR,WDSRD0,AsltHeliCo
WDSRAA,1-160 SOAR,WDSRE0,AsltHeliCo
WDSRAA,1-160 SOAR,WDSRF0,AVUM Co NM
WDSRAA,1-160 SOAR,WDSRT0,HHC SOAVBn
WDSSAA,2-160 SOAR,WDSSA0,Hvy AH Co
WDSSAA,2-160 SOAR,WDSSB0,Hvy AH Co
WDSSAA,2-160 SOAR,WDSSC0,MedAsltHel
WDSSAA,2-160 SOAR,WDSSD0,AVUM Co
WDSSAA,2-160 SOAR,WDSST0,HHCSO AVBn
WDSTAA,HHC160AV,WDST99,Aug160 AV
WDSVAA,E-160 AV,W029AA,Eqp Set
WJMFAA,4-160 SOAR,WJMFA0,Hvy AH Co
WJMFAA,4-160 SOAR,WJMFB0,Hvy AH Co
WJMFAA,4-160 SOAR,WJMFC0,MedAsltHel
WJMFAA,4-160 SOAR,WJMFD0,AVUM Co
WJMFAA,4-160 SOAR,WJMFT0,HHCSO AVBn
WDDDFF,(SOF) 75 RR,W6Z1AA,EqpSet75RR
WDDDFF,(SOF) 75 RR,WDDDAA,HHC 75 RR
WDDDFF,(SOF) 75 RR,WH3LAA,1-75 RR
WDDDFF,(SOF) 75 RR,WH3MAA,2-75 RR
WDDDFF,(SOF) 75 RR,WJBLAA,3-75 RR
WDDDFF,(SOF) 75 RR,WJP8AA,STB-75 RR
WDDDAA,HHC 75 RR,WDDD99,Aug 75RGR
WH3LAA,1-75 RR,W6ZFAA,Eqp Set
WH3LAA,1-75 RR,WH3L99,Aug 1-75RR
WH3LAA,1-75 RR,WH3LA0,RflCoRngBn
WH3LAA,1-75 RR,WH3LB0,RflCoRngBn
WH3LAA,1-75 RR,WH3LC0,RflCoRngBn
WH3LAA,1-75 RR,WH3LD0,RflCoRngBn
WH3LAA,1-75 RR,WH3LE0,Rgr Spt Tm
WH3LAA,1-75 RR,WH3LT0,HHC RngrBn
WH3MAA,2-75 RR,W6ZEAA,Eqp Set
WH3MAA,2-75 RR,WH3M99,Aug 2-75RR
WH3MAA,2-75 RR,WH3MA0,RflCoRngBn
WH3MAA,2-75 RR,WH3MB0,RflCoRngBn
WH3MAA,2-75 RR,WH3MC0,RflCoRngBn
WH3MAA,2-75 RR,WH3MD0,RflCoRngBn
WH3MAA,2-75 RR,WH3ME0,Rgr Spt Tm
WH3MAA,2-75 RR,WH3MT0,HHC RngrBn
WJBLAA,3-75 RR,W6ZDAA,Eqp Set
WJBLAA,3-75 RR,WJBL99,Aug 3-75RR
WJBLAA,3-75 RR,WJBLA0,RflCoRngBn
WJBLAA,3-75 RR,WJBLB0,RflCoRngBn
WJBLAA,3-75 RR,WJBLC0,RflCoRngBn
WJBLAA,3-75 RR,WJBLD0,RflCoRngBn
WJBLAA,3-75 RR,WJBLE0,Rgr Spt Tm
WJBLAA,3-75 RR,WJBLT0,HHC RngrBn
WJP8AA,STB-75 RR,W6ZCAA,Eqp Set
WJP8AA,STB-75 RR,WJP8A0,Recon Co
WJP8AA,STB-75 RR,WJP8B0,SC Co RSTB
WJP8AA,STB-75 RR,WJP8C0,RMIC
WJP8AA,STB-75 RR,WJP8D0,RSTC
WJP8AA,STB-75 RR,WJP8T0,HHC RSTB
