uic,SIMPLENAME,UICTYPE,DOCTPE,DRRSANAME,CMD,COMPO,FY,is_top_level,LOCNM,CITY,STATE,COUNTRY,BRANCH
WDSTFF,(SOF) 160 AV,TITULAR,ROLLUP,0160 AV RGT    SP OPS AVN RGT,SP,1.0,2018,True,,,,,
W028AA,Eqp Set,PARENT,TDA,W028 0160 AV HHC ETDA,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
W02AAA,Eqp Set,PARENT,TDA,W02A 0160 AV 01 BN ETDA,SP,1.0,2018,False,FORT BRAGG,FAYETTEVILLE,NC,USA,
W02BAA,Eqp Set,PARENT,TDA,W02B 0160 AV 04 BN ETDA,SP,1.0,2018,False,FORT LEWIS,TACOMA,WA,USA,
W02CAA,Eqp Set,PARENT,TDA,W02C 0160 AV 03 BN ETDA,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,
W02DAA,Eqp Set,PARENT,TDA,W02D 0160 AV 02 BN ETDA,SP,1.0,2018,False,FORT BRAGG,FAYETTEVILLE,NC,USA,
WC3JAA,3-160 SOAR,PARENT,MTOE,0160 AV BN  03 SPECIAL OPERATI,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,AV
WC3JA0,Hvy AH Co,STRUCTURE,MTOE,0160 AV BN  03 CO A HVY ASLT,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,
WC3JB0,Hvy AH Co,STRUCTURE,MTOE,0160 AV BN  03 CO B HVY ASLT,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,
WC3JC0,MedAsltHel,STRUCTURE,MTOE,0160 AV BN  03 CO C MED ASLT H,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,
WC3JD0,AVUM Co,STRUCTURE,MTOE,0160 AV BN  03 CO D AVUM-AVIM,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,
WC3JT0,HHCSO AVBn,STRUCTURE,MTOE,0160 AV BN  03 HHC SF AVIATION,SP,1.0,2018,False,HUNTER ARMY AIRFIELD,SAVANNAH,GA,USA,
WDSRAA,1-160 SOAR,PARENT,MTOE,0160 AV BN  01 SPECIAL OPERATI,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,AV
WDSRA0,LtAslHelCo,STRUCTURE,MTOE,0160 AV BN  01 CO A LT ASLT HE,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSRB0,LtAtkHelCo,STRUCTURE,MTOE,0160 AV BN  01 CO B LT ATK HEL,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSRC0,AttkHeliCo,STRUCTURE,MTOE,0160 AV BN  01 CO C MED ASLT N,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSRD0,AsltHeliCo,STRUCTURE,MTOE,0160 AV BN  01 CO D MED ASLT N,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSRE0,AsltHeliCo,STRUCTURE,MTOE,0160 AV BN  01 CO E MED ASLT N,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSRF0,AVUM Co NM,STRUCTURE,MTOE,0160 AV BN  01 CO F AVUM-AVIM,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSRT0,HHC SOAVBn,STRUCTURE,MTOE,0160 AV BN  01 HHC SP OPS NATL,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
WDSSAA,2-160 SOAR,PARENT,MTOE,0160 AV BN  02 SPECIAL OPERATI,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,AV
WDSSA0,Hvy AH Co,STRUCTURE,MTOE,0160 AV BN  02 CO A HVY ASLT,SP,1.0,2018,False,FORT CAMPBELL (KY),FORT CAMPBELL,KY,USA,
