parent_uic,child_uic
WAT3FF,W5AAFF
WAT3FF,WA96FF
WAT3FF,WAT3AA
WAT3FF,WC0WAA
WAT3FF,WCC9FF
WAT3FF,WE4NAA
WAT3FF,WFNLFF
WAT3FF,WKANAA
WAT3FF,WKAPAA
WAT3FF,WKBPAA
W5AAFF,W5AAAA
W5AAFF,WA0UFF
W5AAFF,WAH9FF
W5AAFF,WAZTFF
W5AAFF,WGDPFF
W5AAFF,WJMKFF
W5AAFF,WKASFF
W5AAAA,W5AAR1
W5AAAA,W5AAX1
WA0UFF,WA0UAA
WA0UFF,WAF7AA
WA0UFF,WCBGAA
WA0UFF,WH9XAA
WA0UFF,WHUEAA
WA0UAA,WA0U98
WA0UAA,WA0U99
WAF7AA,WAF7A0
WAF7AA,WAF7B0
WAF7AA,WAF7T0
WAF7AA,WJHNAA
WH9XAA,WB1UAA
WH9XAA,WH9XA0
WH9XAA,WH9XB0
WH9XAA,WH9XT0
WAH9FF,WAH9AA
WAH9FF,WAJKAA
WAH9FF,WARNAA
WAH9FF,WAZ7AA
WAH9FF,WE4QAA
WAH9FF,WJFJAA
WAH9FF,WJHHAA
WAH9FF,WJHJAA
WAH9AA,WAH999
WAJKAA,WAJKA0
WAJKAA,WAJKB0
WAJKAA,WAJKC0
WAJKAA,WAJKT0
WARNAA,WARNA0
WARNAA,WARNB0
WARNAA,WARNC0
WARNAA,WARNT0
WAZ7AA,WAZ799
WAZ7AA,WAZ7A0
WAZ7AA,WAZ7B0
WAZ7AA,WAZ7C0
WAZ7AA,WAZ7D0
WAZ7AA,WAZ7T0
WE4QAA,WE4QA0
WE4QAA,WE4QB0
WE4QAA,WE4QC0
WE4QAA,WE4QD0
WE4QAA,WE4QE0
WE4QAA,WE4QF0
WE4QAA,WE4QG0
WE4QAA,WE4QH0
WE4QAA,WE4QJ0
WE4QAA,WE4QT0
WJFJAA,WJFJA0
WJFJAA,WJFJB0
WJFJAA,WJFJC0
WJFJAA,WJFJT0
WJHHAA,WJHHA0
WJHHAA,WJHHB0
WJHHAA,WJHHC0
WJHHAA,WJHHT0
WJHJAA,WJHJA0
WJHJAA,WJHJB0
WJHJAA,WJHJC0
WJHJAA,WJHJD0
WJHJAA,WJHJT0
WAZTFF,WAZTAA
WAZTFF,WC22AA
WAZTFF,WCW4AA
WAZTFF,WCZ2AA
WAZTAA,WAZT99
WCW4AA,WBB0AA
WCW4AA,WCW4A0
WCW4AA,WCW4T0
WCW4AA,WDXXAA
WCW4AA,WE3VAA
WCW4AA,WG81AA
WCW4AA,WHFBAA
WGDPFF,W1J7AA
WGDPFF,WAX2AA
WGDPFF,WEW5AA
WGDPFF,WFAJAA
WGDPFF,WGDPAA
WGDPFF,WHZZAA
WAX2AA,WAX2A0
WAX2AA,WAX2B0
WAX2AA,WAX2C0
WAX2AA,WAX2D0
WAX2AA,WAX2E0
WAX2AA,WAX2T0
WEW5AA,WEW5A0
WEW5AA,WEW5B0
WEW5AA,WEW5C0
WEW5AA,WEW5T0
WFAJAA,WFAJA0
WFAJAA,WFAJB0
WFAJAA,WFAJC0
WFAJAA,WFAJD0
WFAJAA,WFAJE0
WFAJAA,WFAJT0
WGDPAA,WGDP99
WHZZAA,WGQTAA
WHZZAA,WHZZA0
WHZZAA,WHZZB0
WHZZAA,WHZZC0
WHZZAA,WHZZD0
WHZZAA,WHZZE0
WHZZAA,WHZZT0
WJMKFF,WAZ0AA
WJMKFF,WJMJAA
WJMKFF,WJMKAA
WJMKFF,WJMLAA
WJMKFF,WJMMAA
WJMKFF,WJMNAA
WJMKFF,WJMQAA
WJMKFF,WJMSAA
WAZ0AA,WAZ099
WAZ0AA,WAZ0A0
WAZ0AA,WAZ0B0
WAZ0AA,WAZ0C0
WAZ0AA,WAZ0D0
WAZ0AA,WAZ0T0
WJMJAA,WJMJA0
WJMJAA,WJMJB0
WJMJAA,WJMJC0
WJMJAA,WJMJD0
WJMJAA,WJMJT0
WJMKAA,WJMK99
WJMLAA,WJMLA0
WJMLAA,WJMLB0
WJMLAA,WJMLC0
WJMLAA,WJMLT0
WJMMAA,WJMMA0
WJMMAA,WJMMB0
WJMMAA,WJMMC0
WJMMAA,WJMMT0
WJMNAA,WJMNA0
WJMNAA,WJMNB0
WJMNAA,WJMNC0
WJMNAA,WJMNT0
WJMQAA,WJMQA0
WJMQAA,WJMQB0
WJMQAA,WJMQC0
WJMQAA,WJMQT0
WJMSAA,WJMSA0
WJMSAA,WJMSB0
WJMSAA,WJMSC0
WJMSAA,WJMSD0
WJMSAA,WJMSE0
WJMSAA,WJMSF0
WJMSAA,WJMSG0
WJMSAA,WJMSH0
WJMSAA,WJMSJ0
WJMSAA,WJMST0
WKASFF,WKASAA
WKASAA,WKASA1
WA96FF,WA6WAA
WA96FF,WA96AA
WA96FF,WBHBFF
WA96FF,WC30FF
WA96FF,WET1FF
WA96AA,WA9699
WBHBFF,WBHBAA
WBHBFF,WBHKFF
WBHBFF,WC70AA
WBHBFF,WG4UFF
WBHBAA,WBHB99
