bin,n,selection_rate,mean_loo_q,knockout
0,938,0.03411513859275053,-0.9517117733869747,congestion_in_score
1,937,0.0416221985058698,-0.7469080627782692,congestion_in_score
2,938,0.03624733475479744,-0.6182845588127867,congestion_in_score
3,937,0.05549626467449306,-0.5079549688612258,congestion_in_score
4,938,0.04797441364605544,-0.4001381580868262,congestion_in_score
5,937,0.08964781216648879,-0.2945155279936151,congestion_in_score
6,938,0.07782515991471216,-0.18713294866319577,congestion_in_score
7,937,0.07577374599786553,-0.08345915610215308,congestion_in_score
8,938,0.12260127931769722,0.030116267977912992,congestion_in_score
9,937,0.12913553895410887,0.1505093466512949,congestion_in_score
10,938,0.13432835820895522,0.25756651057747376,congestion_in_score
11,937,0.144076840981857,0.36285703056849,congestion_in_score
12,938,0.1417910447761194,0.48044131618024943,congestion_in_score
13,937,0.14941302027748132,0.6076145011650834,congestion_in_score
14,938,0.16098081023454158,0.7567684373077611,congestion_in_score
15,937,0.15901814300960512,1.0251854189991036,congestion_in_score
