vent,n,draft_rate,poolq_mean,poolq_median
0,3,0.6666666666666666,-0.6677997351144747,-0.6694370152340574
1,12,0.25,-0.5491083984941297,-0.5433964353519365
2,70,0.38571428571428573,-0.41630321434178824,-0.40968966328808376
3,289,0.2560553633217993,-0.30944757108699306,-0.3024717915817528
4,683,0.18594436310395315,-0.20231002802533685,-0.20124392546943595
5,1121,0.1623550401427297,-0.09254918493617217,-0.09298737223616967
6,1425,0.14666666666666667,0.022188438564129942,0.02363257011295733
7,1515,0.13399339933993398,0.1326879184571257,0.1326994379812731
8,1319,0.11220621683093253,0.24519635089173428,0.24332963615261238
9,867,0.10034602076124567,0.35460956394445214,0.35209989883735177
10,381,0.11811023622047244,0.4684215166217437,0.46331754669980074
11,181,0.11602209944751381,0.579431954013049,0.5738349717690572
12,47,0.10638297872340426,0.6876289799204112,0.6787508274024652
13,6,0.16666666666666666,0.7989964653153944,0.7951213030888242
14,1,0.0,0.9707735982685208,0.9707735982685208
15,1,0.0,1.1053825050076718,1.1053825050076718
