vent,n,draft_rate,poolq_mean,poolq_median
0,6632,0.007388419782870929,-0.3760209536003655,-0.3891610696498027
1,3319,0.009340162699608317,-0.28947199685988206,-0.2881330830791181
2,3312,0.01177536231884058,-0.2362150451004977,-0.23567180333433718
3,3316,0.009348612786489748,-0.19559768040051304,-0.19548908523329697
4,3316,0.010253317249698432,-0.16224512787012163,-0.1620232023160609
5,3315,0.011463046757164403,-0.13338514339708657,-0.13324054232541835
6,3316,0.012364294330518697,-0.10740443717123292,-0.10727724532854281
7,3316,0.013268998793727383,-0.083514027612763,-0.0836571199674642
8,3315,0.013273001508295626,-0.06080949640180013,-0.060949647240039075
9,3316,0.012364294330518697,-0.03887262430808943,-0.03885462130461661
10,3316,0.010253317249698432,-0.017440421765352435,-0.017636990333317754
11,3315,0.012669683257918552,0.003796492844221444,0.003858632519618409
12,3316,0.015983112183353437,0.02530637797202086,0.02518425878302565
13,3316,0.016887816646562123,0.04670973448746408,0.04686271048942285
14,3315,0.012066365007541479,0.06795773470636737,0.06806619259522599
15,3316,0.019903498190591073,0.0900923735929435,0.09026793322522113
16,3316,0.019601930036188178,0.11341101416216255,0.11330879324499113
17,3315,0.015987933634992457,0.13768618810661745,0.13770181971609322
18,3316,0.016284680337756333,0.16423623349087615,0.1637503123797449
19,3316,0.017490952955367914,0.19481143793878344,0.19456004985487974
20,3315,0.019306184012066366,0.23301081198163423,0.23260612282975845
21,3316,0.01718938480096502,0.2821613979061212,0.28082951149227153
22,6632,0.015379975874547648,0.3722740671529786,0.3872888619254364
