vent,n,draft_rate,poolq_mean,poolq_median
0,8390,0.00011918951132300358,-0.6448735587986126,-0.6522142613870519
1,4186,0.0,-0.6228943196664993,-0.6227454940469439
2,4194,0.0,-0.6164611097342865,-0.616380169368812
3,4189,0.0,-0.611597791532248,-0.6116251684851123
4,4191,0.0,-0.6050531072906301,-0.6053394022526748
5,4192,0.0,-0.5939247297577707,-0.5941251850752995
6,4191,0.0,-0.5766896333379501,-0.5774263210800011
7,4372,0.0,-0.5548444660075981,-0.5543424743990042
8,4011,0.0,-0.5415026057157802,-0.5427682592339209
9,4191,0.0004772130756382725,-0.4549383264820738,-0.500256696601306
10,4192,0.02075381679389313,-0.03759322251530103,-0.02322092811328065
11,4191,0.01789549033643522,0.08837034403327708,0.08879850592241688
12,4192,0.018606870229007633,0.18879593246526016,0.18896042162271692
13,4191,0.01837270341207349,0.28227615412765245,0.2824040607531202
14,4192,0.017652671755725192,0.3651414367763259,0.3654802637037277
15,4192,0.022423664122137404,0.4326448110267975,0.43247365551576267
16,4191,0.024576473395371033,0.48691520802523786,0.48682262510711477
17,4192,0.025524809160305344,0.5354077939286933,0.5352863279222181
18,4191,0.024099260319732762,0.582555981636089,0.5828611975577372
19,4191,0.01765688379861608,0.6282775649367713,0.6282990747488008
20,4192,0.02361641221374046,0.6765245674577965,0.6767125475453004
21,4195,0.018116805721096543,0.732751584372875,0.7326531273561764
22,8380,0.015513126491646777,0.81540107114356,0.8283151394403085
