vent,n,draft_rate,poolq_mean,poolq_median
0,5895,0.007463952502120441,-0.3815512197088504,-0.3891610696498027
1,2187,0.009144947416552356,-0.31562740047274424,-0.31572308272748895
2,2968,0.01078167115902965,-0.26681929937935484,-0.26626616786164525
3,3903,0.010248526774276198,-0.21800017446942577,-0.21696370089250583
4,5040,0.00992063492063492,-0.1697575984122792,-0.16940072879706333
5,6164,0.011194029850746268,-0.12139360980157585,-0.12105057591381996
6,7035,0.013646055437100213,-0.07333490568032254,-0.07322287609913088
7,7515,0.010911510312707918,-0.02507617473819074,-0.024874471219274975
8,7506,0.015454303224087397,0.023344393216501624,0.023230769191502076
9,7399,0.01608325449385052,0.07150745479973653,0.07140008011200985
10,6643,0.01776305885894927,0.12003165560321837,0.11989947183006748
11,5589,0.017355519770978708,0.16789194222191553,0.1677398814364334
12,4120,0.01650485436893204,0.2161491140779818,0.21560266892193436
13,3181,0.020748192392329456,0.2650047519425594,0.26450215045163933
14,2085,0.01870503597122302,0.3125260528588596,0.31198695629570145
15,5663,0.014126787921596327,0.3803304927149727,0.3872888619254364
