vent,n,draft_rate,poolq_mean,poolq_median
0,456,0.09649122807017543,-0.3801140614729261,-0.38916106964980257
1,289,0.06920415224913495,-0.31441649416498313,-0.3135281923393431
2,429,0.07459207459207459,-0.2663371453140994,-0.26573045281212404
3,636,0.06289308176100629,-0.2169461134570507,-0.21557272971925787
4,994,0.05030181086519115,-0.16918730631773057,-0.1679546490176208
5,1413,0.04883227176220807,-0.12170206392393118,-0.12184991606965112
6,1586,0.0605296343001261,-0.07354075217836588,-0.07338641891608358
7,1682,0.04875148632580262,-0.024361600804274953,-0.02424115644329044
8,1897,0.061149182920400634,0.02389694103935482,0.023924527926174145
9,2099,0.05669366364935684,0.07175629479915326,0.07152019486315689
10,2080,0.05673076923076923,0.12042436939606793,0.1204096000371679
11,1831,0.052976515565264885,0.16798258644892852,0.16800003231006316
12,1353,0.05025868440502587,0.2162986030944397,0.2159152486823541
13,1123,0.058771148708815675,0.2644847770943927,0.2636839195028279
14,748,0.05213903743315508,0.3121814619613459,0.31205768395718025
15,1667,0.04799040191961608,0.3790687394230182,0.3872888619254362
