vent,n,draft_rate,poolq_mean,poolq_median
0,4145,0.006996381182147165,-0.3891610696498027,-0.3891610696498027
1,4145,0.00916767189384801,-0.33457932507824156,-0.33285692170502723
2,4144,0.01085907335907336,-0.2546316379911013,-0.25393798160241055
3,4145,0.00916767189384801,-0.2003322594580591,-0.19996261468145238
4,4145,0.010856453558504222,-0.15852343384799597,-0.15810668375356002
5,4144,0.011341698841698842,-0.12340175290457511,-0.12321713544727303
6,4145,0.013268998793727383,-0.09233501569555873,-0.09204287701428353
7,4145,0.013027744270205066,-0.06362129209206567,-0.06363017708203726
8,4144,0.011583011583011582,-0.03615041632407847,-0.03628684857282738
9,4145,0.010615199034981907,-0.009456887895571439,-0.009597853147973545
10,4145,0.014475271411338963,0.017129590429587095,0.016930585523115216
11,4144,0.017857142857142856,0.044090348479739784,0.044170100998582526
12,4145,0.014234016887816647,0.07071486709691194,0.07062501900552534
13,4145,0.016887816646562123,0.09875608439269269,0.09852788008186458
14,4144,0.018581081081081082,0.12840584342223518,0.12826553615982805
15,4145,0.017370325693606754,0.16085451942107126,0.16017741723707757
16,4145,0.016646562123039808,0.19930399535581522,0.19873150488434987
17,4144,0.019787644787644786,0.2501761320488586,0.24968776559355266
18,4145,0.018576598311218336,0.3269109067998703,0.3228407633760777
19,4144,0.01278957528957529,0.5291371465962332,0.5041004070896804
