stage,n_teams,roster_size,target_mean_dist,target_mean_low,target_mean_high,assignment_kernel,assignment_temperature,preferential_alpha,ability_draw,n_selected,score_mode,loo_gap_weight,winner_selection,n_bins,bin_mode,loo_pool_l_mode,n_runs,seed,peak_bin,peak_y,first_bin_y,final_y,tail_drop_frac,left_lift_frac,tail_slope_last3,interior_peak,moderate_downturn,n_individuals,viability_theta,curve_bin_l_col,coverage_peak,median_pool_sd,curve_x,curve_y,curve_n
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,quantile,quality,40,538001,11,0.44516129032258067,0.004365079365079365,0.44516129032258067,0.0,0.9901943869335174,0.11572580645161301,False,False,750,0.7546158731868137,poolq_loo,43.0,0.6980979259885264,"[-1.1411788, -0.8778279, -0.6792524, -0.48272964, -0.2780338, -0.08318608, 0.1071788, 0.3041163, 0.503851, 0.68429633, 0.87052481, 1.14472632]","[0.00436508, 0.00564516, 0.01388889, 0.02943548, 0.04880952, 0.09717742, 0.11111111, 0.19556452, 0.25119048, 0.32943548, 0.39047619, 0.44516129]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,quantile,crowding,40,538001,11,0.44919354838709663,0.017063492063492065,0.44919354838709663,0.0,0.9620130517796586,0.12903225806451607,False,False,750,0.7546158731868137,pool_c_loo,43.0,0.6980979259885264,"[0.0, 0.0, 0.00110544, 0.02721774, 0.0723356, 0.11751152, 0.17956349, 0.2671659, 0.35209751, 0.44553571, 0.55654762, 0.71298963]","[0.01706349, 0.0125, 0.02142857, 0.02782258, 0.05992063, 0.06814516, 0.1297619, 0.19112903, 0.25396825, 0.32016129, 0.37063492, 0.44919355]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,equal_width,quality,40,538001,11,0.5513739390701101,0.002896080883885762,0.5513739390701101,0.0,0.9947475194624361,0.16713860417829274,False,False,750,0.7546158731868137,poolq_loo,43.0,0.6980979259885264,"[-1.25774992, -1.01551246, -0.79469877, -0.56959959, -0.33205597, -0.10047689, 0.12983882, 0.36002498, 0.5974778, 0.82407569, 1.03870263, 1.28797695]","[0.00289608, 0.00505257, 0.00841022, 0.0258473, 0.04534997, 0.07560547, 0.14304896, 0.19462186, 0.32095927, 0.38423533, 0.40378612, 0.55137394]","[1324.0, 2114.0, 2844.0, 2783.0, 3020.0, 3079.0, 2901.0, 3006.0, 2861.0, 2944.0, 1943.0, 1181.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,equal_width,crowding,40,538001,10,0.5217407469794363,0.024975989977634394,0.1443137254901961,0.7233995498230005,0.952129500863733,-0.2308649286198865,True,True,750,0.7546158731868137,pool_c_loo,43.0,0.6980979259885264,"[0.01540855, 0.12321429, 0.19464286, 0.26607143, 0.32142857, 0.39051536, 0.48534799, 0.55357143, 0.61278195, 0.65601504, 0.74807198, 0.83915266]","[0.02497599, 0.07966558, 0.1522901, 0.19638507, 0.26393932, 0.29430616, 0.34398485, 0.35112203, 0.41871861, 0.37517865, 0.52174075, 0.14431373]","[12041.0, 3383.0, 2362.0, 2156.0, 862.0, 2899.0, 1667.0, 1536.0, 450.0, 1063.0, 1245.0, 336.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,quantile,quality,40,538001,11,0.7846774193548389,0.005158730158730159,0.7846774193548389,0.0,0.993425667629162,0.5185483870967744,False,False,750,0.7546158731868137,poolq_loo,35.0,0.49139764858797186,"[-1.5160366, -0.97145493, -0.69890703, -0.46996464, -0.25672813, -0.07173556, 0.09414525, 0.27128527, 0.47202987, 0.69390573, 0.98890903, 1.54187019]","[0.00515873, 0.00887097, 0.00833333, 0.0108871, 0.02142857, 0.0391129, 0.05595238, 0.09717742, 0.16309524, 0.26612903, 0.46309524, 0.78467742]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,quantile,crowding,40,538001,11,0.7798387096774193,0.011507936507936507,0.7798387096774193,0.0,0.9852431837954072,0.502016129032258,False,False,750,0.7546158731868137,pool_c_loo,35.0,0.49139764858797186,"[0.0, 0.0, 0.0, 0.00457949, 0.02174036, 0.05996544, 0.10660431, 0.18228687, 0.29237528, 0.45276498, 0.68098073, 0.93173963]","[0.01150794, 0.01048387, 0.00952381, 0.01008065, 0.01865079, 0.03467742, 0.07261905, 0.08629032, 0.15793651, 0.27782258, 0.45436508, 0.77983871]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,equal_width,quality,40,538001,11,0.953807907778496,0.004161167024143431,0.953807907778496,0.0,0.9956373112550144,0.3311468848930741,False,False,750,0.7546158731868137,poolq_loo,35.0,0.49139764858797186,"[-1.81330772, -1.40315334, -1.08413538, -0.77360111, -0.4474685, -0.11436441, 0.20982499, 0.54202587, 0.8618539, 1.19049213, 1.48351539, 1.94603141]","[0.00416117, 0.0069994, 0.00628803, 0.00735892, 0.01416632, 0.03530712, 0.07936422, 0.2011592, 0.37599207, 0.62266102, 0.71483278, 0.95380791]","[1116.0, 992.0, 2016.0, 3017.0, 3822.0, 4516.0, 4800.0, 3601.0, 2513.0, 1821.0, 996.0, 790.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,ability,0.0,C,12,equal_width,crowding,40,538001,11,0.8350063719707848,0.016010073860219097,0.8350063719707848,0.0,0.980826405165709,0.41035423013114297,False,False,750,0.7546158731868137,pool_c_loo,35.0,0.49139764858797186,"[0.01700403, 0.14285714, 0.21428571, 0.28571429, 0.35714286, 0.46107698, 0.57142857, 0.64285714, 0.71428571, 0.78571429, 0.85714286, 0.97215822]","[0.01601007, 0.12143835, 0.14876924, 0.19367709, 0.18437159, 0.27519311, 0.41969458, 0.35764713, 0.44431235, 0.42465214, 0.52120241, 0.83500637]","[16356.0, 2130.0, 1776.0, 1598.0, 1198.0, 1741.0, 707.0, 694.0, 695.0, 612.0, 680.0, 1813.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,quantile,quality,40,538001,10,0.298015873015873,0.04563492063492063,0.27338709677419354,0.08264249817447707,0.8468708388814913,0.008064516129032306,True,True,750,0.7546158731868137,poolq_loo,43.0,0.6980979259885264,"[-1.1411788, -0.8778279, -0.6792524, -0.48272964, -0.2780338, -0.08318608, 0.1071788, 0.3041163, 0.503851, 0.68429633, 0.87052481, 1.14472632]","[0.04563492, 0.04717742, 0.05952381, 0.08064516, 0.10833333, 0.15080645, 0.14563492, 0.21612903, 0.23055556, 0.26532258, 0.29801587, 0.2733871]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,quantile,crowding,40,538001,11,0.3709677419354837,0.029365079365079354,0.3709677419354837,0.0,0.9208419599723947,0.06854838709677408,False,False,750,0.7546158731868137,pool_c_loo,43.0,0.6980979259885264,"[0.0, 0.0, 0.00110544, 0.02721774, 0.0723356, 0.11751152, 0.17956349, 0.2671659, 0.35209751, 0.44553571, 0.55654762, 0.71298963]","[0.02936508, 0.0233871, 0.03293651, 0.04233871, 0.08095238, 0.08991935, 0.15753968, 0.20604839, 0.25873016, 0.30241935, 0.3265873, 0.37096774]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
