rated_ofcr,rater,snr_rater,rtr_rater_box,snr_rater_box,oer_id,eval_strt_dt,eval_thru_dt
128,RTR_01_01_1,SNR_01_01,40,70,5,2011-09-30,2012-10-01
609,RTR_01_01_1,SNR_01_01,50,60,6,2011-09-30,2012-10-01
857,RTR_01_01_1,SNR_01_01,50,60,7,2011-09-30,2012-10-01
860,RTR_01_01_1,SNR_01_01,50,40,3,2011-09-30,2012-10-01
917,RTR_01_01_1,SNR_01_01,70,40,4,2011-09-30,2012-10-01
934,RTR_01_01_1,SNR_01_01,70,60,2,2011-09-30,2012-10-01
979,RTR_01_01_1,SNR_01_01,40,50,1,2011-09-30,2012-10-01
148,RTR_01_01_2,SNR_01_01,40,30,9,2011-09-30,2012-10-01
261,RTR_01_01_2,SNR_01_01,40,40,8,2011-09-30,2012-10-01
594,RTR_01_01_2,SNR_01_01,50,70,13,2011-09-30,2012-10-01
636,RTR_01_01_2,SNR_01_01,50,60,11,2011-09-30,2012-10-01
811,RTR_01_01_2,SNR_01_01,70,40,10,2011-09-30,2012-10-01
973,RTR_01_01_2,SNR_01_01,60,50,12,2011-09-30,2012-10-01
995,RTR_01_01_2,SNR_01_01,60,70,14,2011-09-30,2012-10-01
56,RTR_01_01_3,SNR_01_01,50,30,19,2011-09-30,2012-10-01
62,RTR_01_01_3,SNR_01_01,70,30,20,2011-09-30,2012-10-01
277,RTR_01_01_3,SNR_01_01,70,50,18,2011-09-30,2012-10-01
286,RTR_01_01_3,SNR_01_01,70,60,15,2011-09-30,2012-10-01
468,RTR_01_01_3,SNR_01_01,30,60,17,2011-09-30,2012-10-01
555,RTR_01_01_3,SNR_01_01,30,50,16,2011-09-30,2012-10-01
840,RTR_01_01_3,SNR_01_01,30,40,21,2011-09-30,2012-10-01
3,RTR_01_01_4,SNR_01_01,60,40,26,2011-09-30,2012-10-01
8,RTR_01_01_4,SNR_01_01,50,30,28,2011-09-30,2012-10-01
83,RTR_01_01_4,SNR_01_01,50,40,23,2011-09-30,2012-10-01
426,RTR_01_01_4,SNR_01_01,30,50,22,2011-09-30,2012-10-01
621,RTR_01_01_4,SNR_01_01,30,30,24,2011-09-30,2012-10-01
754,RTR_01_01_4,SNR_01_01,40,40,27,2011-09-30,2012-10-01
788,RTR_01_01_4,SNR_01_01,40,30,25,2011-09-30,2012-10-01
52,RTR_01_01_5,SNR_01_01,50,40,31,2011-09-30,2012-10-01
101,RTR_01_01_5,SNR_01_01,40,40,34,2011-09-30,2012-10-01
311,RTR_01_01_5,SNR_01_01,70,40,33,2011-09-30,2012-10-01
558,RTR_01_01_5,SNR_01_01,50,60,32,2011-09-30,2012-10-01
627,RTR_01_01_5,SNR_01_01,30,50,30,2011-09-30,2012-10-01
849,RTR_01_01_5,SNR_01_01,50,60,35,2011-09-30,2012-10-01
904,RTR_01_01_5,SNR_01_01,30,70,29,2011-09-30,2012-10-01
46,RTR_01_02_1,SNR_01_02,70,30,37,2011-09-30,2012-10-01
129,RTR_01_02_1,SNR_01_02,30,70,40,2011-09-30,2012-10-01
137,RTR_01_02_1,SNR_01_02,30,30,39,2011-09-30,2012-10-01
