# IPEDS Fall Enrollment Part A (ef{year}a), EFTOTLT where EFALEVEL=1 — total fall headcount.
# Generated by build_school_enrollment_from_ipeds.py — years 2004-2023.
# university must match r1_cs_departments.csv exactly.
university,year,total_enrollment
Arizona State University,2004,196684
Arizona State University,2005,206448
Arizona State University,2006,204936
Arizona State University,2007,205924
Arizona State University,2008,67082
Arizona State University,2009,68064
Arizona State University,2010,70440
Arizona State University,2011,72254
Arizona State University,2012,73378
Arizona State University,2013,48702
Arizona State University,2014,50320
Arizona State University,2015,51984
Arizona State University,2016,51869
Arizona State University,2017,51164
Arizona State University,2018,51585
Arizona State University,2019,53286
Arizona State University,2020,74795
Arizona State University,2021,77881
Arizona State University,2022,80065
Arizona State University,2023,79593
Auburn University,2004,91712
Auburn University,2005,93332
Auburn University,2006,94188
Auburn University,2007,96548
Auburn University,2008,24530
Auburn University,2009,24602
Auburn University,2010,25078
Auburn University,2011,25469
Auburn University,2012,25134
Auburn University,2013,24864
Auburn University,2014,25912
Auburn University,2015,27287
Auburn University,2016,28290
Auburn University,2017,29776
Auburn University,2018,30440
Auburn University,2019,30460
Auburn University,2020,30737
Auburn University,2021,31526
Auburn University,2022,31764
Auburn University,2023,33015
Baylor University,2004,55196
Baylor University,2005,55900
Baylor University,2006,56160
Baylor University,2007,56696
Baylor University,2008,14541
Baylor University,2009,14614
Baylor University,2010,14900
Baylor University,2011,15029
Baylor University,2012,15364
Baylor University,2013,15616
Baylor University,2014,16263
Baylor University,2015,16787
Baylor University,2016,16959
Baylor University,2017,17059
Baylor University,2018,17217
Baylor University,2019,18033
Baylor University,2020,19297
Baylor University,2021,20626
Baylor University,2022,20709
Baylor University,2023,20824
Binghamton University (SUNY),2004,55440
Binghamton University (SUNY),2005,56072
Binghamton University (SUNY),2006,57492
Binghamton University (SUNY),2007,57740
Binghamton University (SUNY),2008,14882
Binghamton University (SUNY),2009,14709
Binghamton University (SUNY),2010,14895
Binghamton University (SUNY),2011,14746
Binghamton University (SUNY),2012,15308
Binghamton University (SUNY),2013,16077
Binghamton University (SUNY),2014,16695
Binghamton University (SUNY),2015,16913
Binghamton University (SUNY),2016,17292
Binghamton University (SUNY),2017,17351
Binghamton University (SUNY),2018,17768
Binghamton University (SUNY),2019,18124
Binghamton University (SUNY),2020,18148
Binghamton University (SUNY),2021,18055
Binghamton University (SUNY),2022,18312
Binghamton University (SUNY),2023,18456
Boston College,2004,58244
Boston College,2005,59316
Boston College,2006,58644
Boston College,2007,58484
Boston College,2008,14836
Boston College,2009,15036
Boston College,2010,14868
Boston College,2011,14754
Boston College,2012,14605
Boston College,2013,14309
Boston College,2014,14317
Boston College,2015,14354
Boston College,2016,14466
Boston College,2017,14628
Boston College,2018,14720
Boston College,2019,14747
Boston College,2020,14934
Boston College,2021,15577
Boston College,2022,15287
Boston College,2023,15280
Boston University,2004,118384
Boston University,2005,123828
Boston University,2006,126296
Boston University,2007,128212
Boston University,2008,31766
Boston University,2009,31960
Boston University,2010,32727
Boston University,2011,32439
Boston University,2012,32603
Boston University,2013,32411
Boston University,2014,32112
Boston University,2015,32158
Boston University,2016,32695
Boston University,2017,33355
Boston University,2018,34657
Boston University,2019,33720
Boston University,2020,32718
Boston University,2021,36104
Boston University,2022,36714
Boston University,2023,36624
Brandeis University,2004,20288
Brandeis University,2005,20756
Brandeis University,2006,21252
Brandeis University,2007,21332
Brandeis University,2008,5327
Brandeis University,2009,5598
Brandeis University,2010,5642
Brandeis University,2011,5828
Brandeis University,2012,5808
Brandeis University,2013,5825
Brandeis University,2014,5945
Brandeis University,2015,5752
Brandeis University,2016,5729
Brandeis University,2017,5721
Brandeis University,2018,5800
Brandeis University,2019,5825
Brandeis University,2020,5440
Brandeis University,2021,5558
Brandeis University,2022,5581
Brandeis University,2023,5302
Brigham Young University,2004,137388
Brigham Young University,2005,136268
Brigham Young University,2006,136740
Brigham Young University,2007,136696
Brigham Young University,2008,34244
Brigham Young University,2009,34130
Brigham Young University,2010,33841
Brigham Young University,2011,34101
Brigham Young University,2012,34409
Brigham Young University,2013,31123
Brigham Young University,2014,30484
