name_display,university,uni_slug,year,rank,pubs_year,pubs_cumulative,years_as_asst_so_far,tenure_event,year_of_tenure,attrition,censored,openalex_id,match_confidence,faculty_id,name_key,n_snapshots,ever_assistant,first_asst_year,last_asst_year,pool_size_all,pool_size_oa,pool_size_oa_loo,poolq_loo_mean,poolq_loo_sd,pool_rank_loo,pool_pctile_loo
Ariane Middel,Arizona State University,arizona_state_university,2019,assistant,0,0,1.0,False,,False,True,https://openalex.org/A5065330886,MEDIUM,arizona_state_university|ariane middel,ariane middel,10,True,2019.0,2021.0,33.0,27.0,26.0,0.2692,1.0023,24.0,88.5
Ariane Middel,Arizona State University,arizona_state_university,2020,assistant,0,0,2.0,False,,False,True,https://openalex.org/A5065330886,MEDIUM,arizona_state_university|ariane middel,ariane middel,6,True,2019.0,2021.0,31.0,21.0,20.0,0.5,2.0131,19.0,90.0
Ariane Middel,Arizona State University,arizona_state_university,2021,assistant,0,0,3.0,False,,False,True,https://openalex.org/A5065330886,MEDIUM,arizona_state_university|ariane middel,ariane middel,4,True,2019.0,2021.0,32.0,21.0,20.0,0.35,0.9333,18.0,85.0
Jia Zou,Arizona State University,arizona_state_university,2019,assistant,5,5,1.0,False,,False,True,https://openalex.org/A5013735333,HIGH,arizona_state_university|jia zou,jia zou,10,True,2019.0,2021.0,33.0,27.0,26.0,0.0769,0.2717,27.0,100.0
Jia Zou,Arizona State University,arizona_state_university,2020,assistant,9,14,2.0,False,,False,True,https://openalex.org/A5013735333,HIGH,arizona_state_university|jia zou,jia zou,6,True,2019.0,2021.0,31.0,21.0,20.0,0.05,0.2236,21.0,100.0
Jia Zou,Arizona State University,arizona_state_university,2021,assistant,3,17,3.0,False,,False,True,https://openalex.org/A5013735333,HIGH,arizona_state_university|jia zou,jia zou,4,True,2019.0,2021.0,32.0,21.0,20.0,0.2,0.6959,21.0,100.0
Jorge Sefair,Arizona State University,arizona_state_university,2019,assistant,0,0,1.0,False,,False,True,https://openalex.org/A5043132848,MEDIUM,arizona_state_university|jorge sefair,jorge sefair,10,True,2019.0,2021.0,33.0,27.0,26.0,0.2692,1.0023,24.0,88.5
Jorge Sefair,Arizona State University,arizona_state_university,2020,assistant,0,0,2.0,False,,False,True,https://openalex.org/A5043132848,MEDIUM,arizona_state_university|jorge sefair,jorge sefair,6,True,2019.0,2021.0,31.0,21.0,20.0,0.5,2.0131,19.0,90.0
Jorge Sefair,Arizona State University,arizona_state_university,2021,assistant,0,0,3.0,False,,False,True,https://openalex.org/A5043132848,MEDIUM,arizona_state_university|jorge sefair,jorge sefair,4,True,2019.0,2021.0,32.0,21.0,20.0,0.35,0.9333,18.0,85.0
Kirk Jalbert,Arizona State University,arizona_state_university,2019,assistant,1,1,1.0,False,,False,True,https://openalex.org/A5078652012,HIGH,arizona_state_university|kirk jalbert,kirk jalbert,10,True,2019.0,2021.0,33.0,27.0,26.0,0.2308,0.9923,26.0,96.2
Kirk Jalbert,Arizona State University,arizona_state_university,2020,assistant,1,2,2.0,False,,False,True,https://openalex.org/A5078652012,HIGH,arizona_state_university|kirk jalbert,kirk jalbert,6,True,2019.0,2021.0,31.0,21.0,20.0,0.45,2.0125,20.0,95.0
Kirk Jalbert,Arizona State University,arizona_state_university,2021,assistant,1,3,3.0,False,,False,True,https://openalex.org/A5078652012,HIGH,arizona_state_university|kirk jalbert,kirk jalbert,4,True,2019.0,2021.0,32.0,21.0,20.0,0.3,0.9234,19.0,90.0
