bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,319,42,133,144,175,0.24,0.182742,0.308428,0.76,0.691572,0.817258,0.0,1.125,2.25,,-0.922032
2,355,53,114,188,167,0.317365,0.251555,0.391389,0.682635,0.608611,0.748445,2.269767,3.11882,4.494933,,-0.418462
3,155,43,72,40,115,0.373913,0.290902,0.465075,0.626087,0.534925,0.709098,4.53075,5.6667,6.714275,,0.225043
4,128,29,24,75,53,0.54717,0.414537,0.673426,0.45283,0.326574,0.585463,6.76818,7.976587,8.95,,0.80844
5,44,10,6,28,16,0.625,0.386406,0.81519,0.375,0.18481,0.613594,9.046086,9.564713,11.195367,,1.209546
6,48,9,11,28,20,0.45,0.258195,0.657918,0.55,0.342082,0.741805,11.291,12.25488,13.291667,,1.888988
7,33,10,15,8,25,0.4,0.234031,0.592609,0.6,0.407391,0.765969,13.54078,14.353175,15.75,,2.418944
8,17,0,1,16,1,0.0,0.0,0.793457,1.0,0.206543,1.0,15.8421,15.8947,16.137567,,2.80828
9,2,0,2,0,2,0.0,0.0,0.657628,1.0,0.342372,1.0,18.6667,18.83335,19.0,,3.55048
10,2,0,2,0,2,0.0,0.0,0.657628,1.0,0.342372,1.0,21.0,21.0,21.0,,4.097701
12,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,27.0,27.0,27.0,,5.613092
